Name,PTS,REB,AST,3PT,BLK,STL,TO
Giannis Antetokounmpo,34,13,6,1,1,1,1
Jrue Holiday,20,5,7,3,1,2,1
Brook Lopez,14,7,2,2,2,1,1
Grayson Allen,10,3,2,2,1,1,1
Paolo Banchero,20,8,4,2,1,1,1
Pascal Siakam,27,7,5,2,1,1,1
Fred Vanvleet,23,4,7,4,1,1,1
Franz Wagner,18,4,4,2,1,1,1
Wendell Carter,16,9,3,2,1,1,1
Markelle Fultz,15,5,7,1,1,2,1
Deaaron Fox,27,4,7,2,1,2,1
Domantas Sabonis,20,13,7,1,1,1,1
Kevin Huerter,15,4,4,3,1,2,2
Harrison Barnes,15,4,2,2,1,1,1
Keegan Murray,12,6,2,3,1,1,1
Deeandre Ayton,21,11,2,1,1,1,2
Chris Paul,16,4,10,2,1,1,1
Devin Booker,25,5,5,3,1,1,1
Kawhi Leonard,26,6,5,2,1,1,1
Paul George,23,6,6,3,1,1,1
Ivica Subac,10,10,2,1,1,1,1
Terance Mann,12,5,3,2,1,1,1
Marcus Morris,13,5,2,2,1,1,1
Derrick White,21,5,7,3,1,1,1
Al Horford,10,6,4,3,1,1,1
Torrey Craig,8,6,2,2,1,1,1
Scottie Barnes,17,7,5,2,1,1,1
Gary Harris,9,2,2,1,1,1,1
Damian Lillard,36,5,8,5,1,1,1
Anfernee Simons,21,4,5,4,1,1,1
Drew Eubanks,9,8,2,1,1,1,1
Kristaps Porzingis,25,9,2,2,2,1,1
