Name,PTS,REB,AST,3PT,BLK,STL,TO,LOC,OPP
Tyrese Haliburton,20,4,10,3,1,1,1,away,orl
Myles Turner,18,9,2,2,1,1,1,away,orl
Buddy Hield,17,5,3,4,1,1,1,away,orl
Aaron Nesmith,11,5,2,2,1,1,1,away,orl
Paolo Banchero,20,8,4,2,1,1,1,home,ind
Franz Wagner,17,4,4,2,1,1,1,home,ind
Wendell Carter,16,10,3,2,1,1,1,home,ind
Markelle Fultz,15,5,6,1,1,1,1,home,ind
Gary Harris,9,2,2,2,1,1,1,home,ind
Cole Anthony,10,4,4,1,1,1,1,home,ind
Moritz Wagner,9,4,2,1,1,1,1,home,ind
Benedict Mathurin,16,5,2,2,1,1,1,away,orl
lamelo ball,24,7,9,4,1,1,1,home,mia
terry rozier,22,5,5,3,1,1,1,home,mia
gordon hayward,16,5,4,2,1,1,1,home,mia
bam adebayo,22,11,4,1,1,1,1,away,cha
tyler herro,21,5,5,3,1,1,1,away,cha
jimmy butler,22,6,6,1,1,1,1,away,cha
mark williams,11,8,2,1,1,1,1,home,mia
brandon ingram,26,6,5,2,1,1,1,away,nyk
cj mccollum,21,4,6,3,1,1,1,away,nyk
jonas valanciunas,13,10,2,1,1,1,1,away,nyk
julius randle,26,10,4,4,1,1,1,home,nop
jalen brunson,26,4,6,2,1,1,1,home,nop
rj barrett,18,4,3,2,1,1,1,home,nop
herbert jones,9,4,2,1,1,1,1,away,nyk
mitchell robinson,8,9,2,1,1,1,1,home,nop
nikola jokic,25,14,10,1,1,1,1,away,mem
jamal murray,23,5,7,3,1,1,1,away,mem
michael porter jr,18,6,2,3,1,1,1,away,mem
kentavious caldwell pope,12,4,3,2,1,1,1,away,mem
ja morant,28,6,10,2,1,1,1,home,den
desmond bane,22,5,4,3,1,1,1,home,den
jaren jackson jr,18,8,2,2,1,1,1,home,den
dillon brooks,12,3,3,2,1,1,1,home,den
Jayson Tatum,30,9,5,4,1,1,1,away,phi
Jaylen Brown,26,7,3,3,1,1,1,away,phi
Marcus Smart,10,4,6,2,1,1,1,away,phi
Al Horford,8,6,2,2,1,1,1,away,phi
Joel Embiid,31,11,4,1,1,1,1,home,bos
James Harden,22,6,10,3,1,1,1,home,bos
Tobias Harris,14,6,2,2,1,1,1,home,bos
PJ Tucker,4,4,2,1,1,1,1,home,bos
Derrick White,11,3,3,2,1,1,1,away,phi
Robert Williams,8,9,2,1,1,1,1,away,phi
Malcolm Brogdon,14,4,4,2,1,1,1,away,phi
Deanthony Melton,8,3,2,2,1,1,1,home,bos
Tyrese Maxey,18,2,3,2,1,1,1,home,bos
Keldon Johnson,22,5,4,2,1,1,1,away,uta
Lauri Markkanen,29,9,3,4,1,1,1,home,sas
Jordan Clarkson,25,5,6,3,1,1,1,home,sas
Walker Kessler,13,12,2,1,1,1,1,home,sas
