2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	vsOKC	L  133-130	31	6-9	66.7	0-0	0	1-2	50	8	2	1	2	4	2	13
Sat 2/4	@NO	L  131-126	38	13-25	52	2-5	40	6-7	85.7	14	3	2	1	3	2	34
Thu 2/2	@IND	W  112-111	35	13-27	48.1	0-3	0	5-5	100	14	2	2	1	0	2	31
FEBRUARY			34.7	10.7-20.3	52.5	0.7-2.7	25	4.0-4.7	85.7	12	2.3	1.7	1.3	2.3	2	26
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	@NY	W  129-123 OT	37	9-16	56.3	0-1	0	9-11	81.8	9	1	0	2	3	5	27
Sat 1/28	@BOS	L  125-121 OT	34	6-15	40	1-3	33.3	3-4	75	10	4	0	0	4	2	16
Wed 1/25	vsSA	W  113-104	26	7-15	46.7	1-3	33.3	6-7	85.7	12	1	4	1	2	3	21
JANUARY			32.3	7.3-15.3	47.8	0.7-2.3	28.6	6.0-7.3	81.8	10.3	2	1.3	1	3	3.3	21.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/16	vsDEN	W  126-108	17	4-6	66.7	0-0	0	2-2	100	4	2	1	1	2	2	10
Wed 12/13	vsBOS	L  122-118 OT	46	13-24	54.2	0-2	0	11-15	73.3	12	3	1	1	1	1	37
Mon 12/11	@DET	W  124-117	36	12-18	66.7	0-1	0	10-12	83.3	15	7	1	2	3	1	34
Sat 12/9	@PHI	L  133-122 OT	36	9-13	69.2	0-1	0	13-14	92.9	12	0	2	2	5	3	31
Wed 12/6	@CLE	L  116-102	8	0-0	0	0-0	0	1-3	33.3	3	2	0	0	0	0	1
Mon 12/4	@WSH	W  130-119	38	22-30	73.3	2-3	66.7	9-9	100	17	1	3	0	1	2	55
Sat 12/2	@MIL	W  133-129	40	18-27	66.7	2-3	66.7	6-7	85.7	10	4	3	0	2	0	44
DECEMBER			31.6	11.1-16.9	66.1	0.6-1.4	40	7.4-8.9	83.9	10.4	2.7	1.6	0.9	2	1.3	30.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	vsPOR	W  128-109	29	9-17	52.9	1-2	50	8-9	88.9	12	1	3	1	3	2	27
Tue 11/28	vsIND	L  116-115	37	9-15	60	0-0	0	7-10	70	13	6	4	0	4	2	25
Sat 11/25	@SA	W  105-94	35	10-13	76.9	0-0	0	5-7	71.4	15	4	3	1	4	3	25
Wed 11/22	@PHX	L  115-105	38	11-17	64.7	0-0	0	15-16	93.8	21	2	5	5	2	6	37
Mon 11/20	vsSA	W  123-92	28	12-19	63.2	0-2	0	6-6	100	18	2	1	3	1	2	30
Sat 11/18	vsDET	W  128-121	34	10-16	62.5	0-1	0	18-21	85.7	16	2	4	1	3	4	38
Mon 11/13	vsBKN	W  116-103	34	15-25	60	0-0	0	7-7	100	18	2	0	0	5	1	37
Sat 11/11	vsSAC	L  120-114	34	8-17	47.1	0-1	0	8-11	72.7	14	3	3	2	2	2	24
Thu 11/9	@LAC	L  114-101	35	9-16	56.3	0-1	0	3-4	75	9	3	1	0	5	3	21
Tue 11/7	@UTAH	L  139-116	29	11-18	61.1	1-1	100	6-7	85.7	4	2	1	1	2	2	29
Mon 11/6	vsCLE	L  114-100	33	7-12	58.3	0-0	0	5-9	55.6	12	4	1	0	4	1	19
Sat 11/4	vsUTAH	L  130-116	35	9-17	52.9	1-2	50	3-3	100	8	2	2	0	3	1	22
Thu 11/2	vsNO	W  120-117 OT	37	8-17	47.1	0-0	0	4-4	100	16	4	4	1	3	1	20
NOVEMBER			33.7	9.8-16.8	58.4	0.2-0.8	30	7.3-8.8	83.3	13.5	2.8	2.5	1.2	3.2	2.3	27.2
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 10/30	vsDEN	W  121-110	37	10-18	55.6	0-0	0	3-4	75	15	2	1	1	3	2	23
Thu 10/26	@DEN	L  110-99	36	11-19	57.9	0-1	0	0-1	0	14	5	2	3	1	0	22
Mon 10/23	vsPOR	L  106-104	36	9-17	52.9	0-3	0	4-4	100	10	3	6	2	5	1	22
Fri 10/20	vsLAC	L  103-97	32	9-16	56.3	2-4	50	5-7	71.4	8	0	0	2	2	2	25
Wed 10/18	@GS	L  123-109	36	10-22	45.5	0-3	0	7-9	77.8	6	0	1	4	2	3	27
OCTOBER			35.4	9.8-18.4	53.3	0.4-2.2	18.2	3.8-5.0	76	10.6	2	2	2.4	2.6	1.6	23.8
