2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	@CLE	L  113-85	32	4-13	30.8	1-5	20	6-7	85.7	3	3	0	0	1	3	15
Mon 2/6	vsBOS	L  111-99	33	6-11	54.5	2-4	50	7-7	100	3	1	1	1	2	1	21
Sat 2/4	vsPHX	L  116-100	35	8-17	47.1	4-10	40	3-4	75	3	2	0	1	2	2	23
Fri 2/3	vsCHA	W  118-112	35	8-14	57.1	4-7	57.1	1-2	50	1	2	0	1	4	4	21
FEBRUARY			33.8	6.5-13.8	47.3	2.8-6.5	42.3	4.3-5.0	85	2.5	2	0.3	0.8	2.3	2.5	20
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	@DAL	L  111-105	36	10-15	66.7	4-7	57.1	5-5	100	5	2	0	0	3	4	29
Sat 1/28	vsHOU	L  117-114	37	6-17	35.3	1-6	16.7	5-6	83.3	2	3	0	1	2	1	18
Thu 1/26	@BKN	W  130-122	32	4-15	26.7	0-4	0	3-4	75	6	1	1	1	2	2	11
Mon 1/23	vsMIL	L  150-130	28	11-15	73.3	6-7	85.7	5-5	100	3	0	0	1	2	2	33
Thu 1/19	vsCHI	L  126-108	35	9-20	45	3-9	33.3	4-6	66.7	5	3	0	0	0	2	25
NBA PARIS GAME 2023																
Fri 1/13	vsNO	L  116-110	36	9-19	47.4	1-7	14.3	3-5	60	3	2	1	0	2	0	22
Wed 1/11	vsMIN	W  135-118	32	9-15	60	5-8	62.5	4-5	80	6	4	1	1	3	2	27
Sun 1/8	vsPHI	L  123-111	36	7-17	41.2	1-4	25	5-5	100	2	5	0	1	2	2	20
Fri 1/6	@SA	L  121-109	32	9-20	45	2-7	28.6	1-2	50	3	3	0	0	1	4	21
Wed 1/4	@GS	W  122-119	33	10-15	66.7	5-6	83.3	4-5	80	4	5	0	2	1	0	29
Mon 1/2	@POR	L  135-106	25	8-15	53.3	2-3	66.7	3-3	100	2	3	0	0	1	1	21
JANUARY			32.9	8.4-16.6	50.3	2.7-6.2	44.1	3.8-4.6	82.4	3.7	2.8	0.3	0.6	1.7	1.8	23.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	@MIN	W  116-104	31	10-14	71.4	3-4	75	5-5	100	6	5	0	1	1	2	28
Sat 12/30	@CHI	L  132-118	31	8-19	42.1	2-6	33.3	2-4	50	4	6	0	1	1	3	20
Thu 12/28	vsORL	W  121-101	36	4-14	28.6	1-5	20	5-6	83.3	3	5	0	0	3	1	14
Tue 12/26	vsLAC	L  142-131 OT	39	7-20	35	1-6	16.7	8-9	88.9	3	3	1	2	3	5	23
Sat 12/23	@ATL	L  130-105	30	8-20	40	2-7	28.6	5-5	100	3	1	0	1	2	3	23
Thu 12/21	@PHI	L  113-93	24	1-3	33.3	0-0	0	8-9	88.9	8	0	0	0	1	2	10
Wed 12/20	vsUTAH	L  126-111	31	5-13	38.5	2-6	33.3	3-3	100	3	3	0	1	4	2	15
Mon 12/18	vsBKN	L  124-121	31	7-16	43.8	3-8	37.5	9-9	100	1	4	0	0	1	2	26
Sat 12/16	vsSAC	L  122-113	30	6-16	37.5	1-5	20	9-9	100	2	2	0	1	1	3	22
Thu 12/14	@CHA	W  141-134 OT	37	8-19	42.1	3-9	33.3	5-6	83.3	4	4	0	0	3	1	24
Mon 12/11	vsLAL	L  124-117	35	12-22	54.5	6-12	50	8-8	100	4	2	1	1	3	4	38
Sat 12/9	@MEM	L  114-103	22	6-15	40	2-6	33.3	5-5	100	4	0	0	0	1	2	19
Thu 12/7	@NO	L  104-98	20	1-8	12.5	1-4	25	2-2	100	3	0	0	0	0	2	5
Wed 12/6	@MIA	W  116-96	30	12-16	75	7-9	77.8	0-0	0	3	5	0	3	1	3	31
Mon 12/4	vsMEM	L  122-112	24	4-8	50	2-4	50	8-8	100	1	1	0	1	0	3	18
Fri 12/1	vsDAL	W  131-125 OT	41	10-14	71.4	5-6	83.3	5-6	83.3	4	4	0	2	3	2	30
DECEMBER			30.8	6.8-14.8	46	2.6-6.1	42.3	5.4-5.9	92.6	3.5	2.8	0.1	0.9	1.8	2.5	21.6
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 11/29	vsNY	L  140-110	19	4-6	66.7	1-2	50	4-6	66.7	0	2	0	0	0	3	13
Sat 11/25	@PHX	L  108-102	33	9-21	42.9	1-4	25	0-0	0	4	3	0	0	2	5	19
Thu 11/23	@UTAH	W  125-116	34	7-18	38.9	1-3	33.3	8-8	100	5	3	0	1	1	1	23
Wed 11/22	@DEN	W  110-108	35	8-17	47.1	1-5	20	5-6	83.3	9	4	0	0	1	3	22
Mon 11/20	@SAC	L  137-129	34	8-12	66.7	2-5	40	3-3	100	3	2	0	0	3	3	21
