2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	vsATL	W  116-107	36	11-18	61.1	0-1	0	8-9	88.9	3	8	0	1	1	5	30
Sat 2/4	vsLAL	W  131-126	32	15-28	53.6	0-3	0	5-6	83.3	5	4	0	0	4	3	35
Thu 2/2	@DAL	L  111-106	36	10-20	50	1-2	50	5-6	83.3	9	7	1	0	4	3	26
FEBRUARY			34.7	12.0-22.0	54.5	0.3-2.0	16.7	6.0-7.0	85.7	5.7	6.3	0.3	0.3	3	3.7	30.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	@DEN	L  122-113	33	5-17	29.4	1-4	25	5-6	83.3	4	9	1	1	3	4	16
Sat 1/28	vsWSH	L  113-103	29	8-22	36.4	1-5	20	5-5	100	6	4	0	1	3	6	22
Wed 1/25	vsMIN	L  111-102	26	4-18	22.2	0-6	0	5-5	100	5	5	0	1	2	4	13
JANUARY			29	5.7-19.0	29.8	0.7-5.0	13.3	5.0-5.3	93.8	5	6	0.3	1	2.7	4.7	17
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 11/25	@MEM	L  132-111	18	2-6	33.3	0-1	0	4-4	100	3	3	0	0	0	2	8
Thu 11/23	@SA	W  129-110	32	4-9	44.4	1-3	33.3	8-8	100	3	10	0	0	2	5	17
Tue 11/21	vsGS	W  128-83	31	12-19	63.2	3-7	42.9	7-7	100	6	3	0	3	1	2	34
Sat 11/18	vsBOS	L  117-109	38	9-20	45	5-11	45.5	2-2	100	2	7	0	2	1	2	25
Thu 11/16	vsCHI	W  124-110	32	4-15	26.7	2-4	50	6-8	75	6	9	1	0	2	2	16
Wed 11/15	vsMEM	W  113-102	38	7-15	46.7	2-2	100	3-3	100	4	2	1	0	2	1	19
Sun 11/12	vsHOU	W  119-106	38	8-19	42.1	0-4	0	4-4	100	5	5	1	3	4	2	20
Fri 11/10	vsPOR	L  106-95	31	6-12	50	2-4	50	0-0	0	5	2	0	0	6	5	14
Thu 11/9	@CHI	W  115-111	33	8-14	57.1	1-2	50	5-6	83.3	9	3	0	1	4	4	22
Tue 11/7	@IND	L  129-122	37	12-24	50	3-4	75	2-2	100	6	2	2	0	2	2	29
Sun 11/5	@ATL	L  124-121 OT	38	7-23	30.4	2-4	50	0-0	0	5	7	2	0	4	1	16
Sat 11/4	vsGS	W  114-105	36	8-17	47.1	3-7	42.9	7-10	70	5	5	2	0	2	4	26
NOVEMBER			33.5	7.3-16.1	45.1	2.0-4.4	45.3	4.0-4.5	88.9	4.9	4.8	0.8	0.8	2.5	2.7	20.5
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 10/23	vsUTAH	L  122-121 OT	11	4-5	80	1-2	50	1-2	50	1	0	0	1	0	1	10
Sat 10/21	@CHA	W  124-112	37	8-16	50	1-1	100	11-11	100	9	7	1	2	0	5	28
Thu 10/19	@BKN	W  130-108	31	10-17	58.8	2-4	50	6-9	66.7	7	5	0	1	3	4	28
OCTOBER			26.3	7.3-12.7	57.9	1.3-2.3	57.1	6.0-7.3	81.8	5.7	4	0.3	1.3	1	3.3	22
