2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	@HOU	W  130-128	38	11-23	47.8	0-3	0	9-10	90	5	11	0	2	2	3	31
Mon 2/6	@HOU	W  140-120	29	5-12	41.7	0-1	0	6-9	66.7	4	8	1	2	3	4	16
Wed 2/1	@SA	W  119-109	38	13-23	56.5	2-4	50	3-3	100	2	10	1	3	3	1	31
FEBRUARY			35	9.7-19.3	50	0.7-2.7	25	6.0-7.3	81.8	3.7	9.7	0.7	2.3	2.7	2.7	26
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	@MIN	W  118-111 OT	41	13-27	48.1	2-4	50	4-5	80	5	4	1	2	2	2	32
Sat 1/28	@MIN	L  117-110	35	10-24	41.7	1-7	14.3	8-10	80	3	6	0	2	5	0	29
Wed 1/25	vsTOR	L  113-95	30	7-12	58.3	1-2	50	1-1	100	4	8	0	0	4	4	16
Mon 1/23	vsMEM	W  133-100	33	7-14	50	1-3	33.3	2-2	100	5	10	0	4	1	6	17
Sat 1/21	vsPHI	L  129-127	38	11-19	57.9	0-2	0	9-10	90	4	9	0	2	2	1	31
Fri 1/20	vsOKC	W  118-113	38	10-23	43.5	2-6	33.3	3-7	42.9	4	2	0	0	3	1	25
Wed 1/18	@LAL	W  116-111	39	13-23	56.5	2-7	28.6	3-7	42.9	3	6	0	1	0	2	31
Sun 1/15	@SA	W  132-119	37	11-21	52.4	1-4	25	0-0	0	1	3	0	0	3	1	23
Fri 1/13	vsHOU	W  139-114	33	9-14	64.3	3-5	60	3-3	100	5	5	0	1	1	5	24
Wed 1/11	vsHOU	W  135-115	32	9-18	50	2-4	50	4-6	66.7	2	9	0	1	0	1	24
Mon 1/9	vsORL	W  136-111	29	5-14	35.7	1-7	14.3	0-0	0	2	9	0	0	1	2	11
Sat 1/7	vsLAL	L  136-134	38	11-21	52.4	0-2	0	12-14	85.7	2	9	0	0	4	3	34
Wed 1/4	vsATL	L  120-117	37	9-20	45	0-1	0	7-7	100	5	5	0	2	2	1	25
Tue 1/3	@UTAH	W  117-115	38	15-22	68.2	1-5	20	6-8	75	3	6	2	1	2	4	37
Sun 1/1	@MEM	L  118-108	36	7-18	38.9	2-4	50	3-3	100	4	6	0	1	1	5	19
JANUARY			35.5	9.8-19.3	50.7	1.3-4.2	30.2	4.3-5.5	78.3	3.5	6.5	0.2	1.1	2.1	2.5	25.2
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/30	vsUTAH	W  126-125	39	10-24	41.7	1-5	20	3-4	75	3	10	0	0	2	1	24
Thu 12/28	vsDEN	W  127-126	37	12-21	57.1	2-6	33.3	5-5	100	2	13	0	1	1	4	31
Wed 12/27	vsDEN	L  113-106	31	10-16	62.5	3-5	60	3-5	60	1	4	0	0	1	5	26
Sat 12/23	vsWSH	L  125-111	35	9-16	56.3	0-3	0	8-13	61.5	7	3	1	1	4	1	26
Thu 12/21	vsLAL	W  134-120	30	7-13	53.8	0-3	0	8-9	88.9	4	6	0	0	4	2	22
Tue 12/19	vsCHA	L  125-119	34	14-25	56	2-5	40	7-9	77.8	5	2	0	0	5	2	37
Sat 12/16	@DET	W  122-113	39	9-19	47.4	0-5	0	6-9	66.7	5	9	0	1	4	3	24
Thu 12/14	@TOR	W  124-123	41	9-23	39.1	4-8	50	5-7	71.4	6	10	0	1	4	3	27
Wed 12/13	@PHI	L  123-103	29	5-15	33.3	1-7	14.3	2-4	50	4	1	0	1	2	3	13
Thu 12/7	@MIL	L  126-113	32	5-16	31.3	1-6	16.7	4-4	100	2	2	1	0	3	1	15
Mon 12/4	vsCHI	W  110-101	32	5-14	35.7	2-7	28.6	4-4	100	7	4	0	2	0	4	16
Sun 12/3	@LAC	W  123-96	28	5-12	41.7	1-4	25	3-5	60	6	4	1	0	0	2	14
DECEMBER			33.9	8.3-17.8	46.7	1.4-5.3	26.6	4.8-6.5	74.4	4.3	5.7	0.3	0.6	2.5	2.6	22.9
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	vsIND	W  137-114	27	7-11	63.6	1-1	100	4-5	80	5	6	0	0	4	3	19
Tue 11/28	vsPHX	L  122-117	29	4-12	33.3	1-3	33.3	2-2	100	5	5	3	1	1	1	11
Sat 11/25	@BOS	L  122-104	31	6-17	35.3	3-9	33.3	5-5	100	4	2	0	0	1	2	20
Thu 11/23	@ATL	L  115-106	32	7-20	35	1-5	20	3-7	42.9	5	5	0	0	3	4	18
Wed 11/22	@MEM	W  113-109	35	11-21	52.4	5-8	62.5	5-6	83.3	8	6	0	4	3	1	32
Mon 11/20	vsDET	W  137-129	36	11-18	61.1	2-4	50	9-9	100	4	7	0	0	4	2	33
Fri 11/17	vsSA	W  130-112	32	11-15	73.3	2-3	66.7	4-4	100	3	8	0	1	3	0	28
Wed 11/15	vsBKN	W  153-121	24	5-12	41.7	1-5	20	3-5	60	4	9	1	1	1	1	14
Mon 11/13	vsGS	W  122-115	34	10-19	52.6	2-4	50	0-2	0	4	8	1	3	3	3	22
Sat 11/11	@LAL	W  120-114	36	13-19	68.4	2-5	40	4-5	80	7	12	0	2	2	3	32
Thu 11/9	vsCLE	W  127-120	29	6-14	42.9	1-4	25	2-2	100	2	8	0	3	1	0	15
Tue 11/7	@GS	L  116-113	37	8-17	47.1	2-5	40	10-12	83.3	2	6	0	0	3	2	28
Sun 11/5	@ORL	W  126-123 OT	40	14-24	58.3	2-7	28.6	7-7	100	5	3	0	1	3	4	37
NOVEMBER			32.4	8.7-16.8	51.6	1.9-4.8	39.7	4.5-5.5	81.7	4.5	6.5	0.4	1.2	2.5	2	23.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 10/31	@CHA	W  115-108	9	2-4	50	1-3	33.3	3-3	100	0	1	0	0	1	3	8
Sun 10/29	vsMIA	W  119-113	36	6-17	35.3	0-2	0	5-5	100	13	5	2	0	4	3	17
Fri 10/27	vsMEM	L  125-110	35	11-19	57.9	2-6	33.3	3-3	100	6	2	1	1	5	3	27
Mon 10/23	@GS	L  130-125	36	11-20	55	1-6	16.7	3-3	100	5	10	0	1	4	3	26
Sun 10/22	vsLAC	L  111-109	32	15-23	65.2	3-5	60	3-6	50	5	4	1	1	1	3	36
Thu 10/19	vsPOR	L  115-108	35	12-21	57.1	5-9	55.6	4-5	80	7	7	0	2	5	8	33
OCTOBER			30.8	9.5-17.3	54.8	2.0-5.2	38.7	3.5-4.2	84	6	4.8	0.7	0.8	3.3	3.8	24.5
