2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	@NO	L  116-107	40	8-17	47.1	3-8	37.5	0-0	0	5	7	0	1	2	3	19
Sat 2/4	@DEN	L  128-108	36	10-21	47.6	3-8	37.5	5-7	71.4	4	10	2	1	0	3	28
Fri 2/3	@UTAH	W  115-108	37	5-16	31.3	1-6	16.7	2-2	100	5	8	0	3	1	2	13
Wed 2/1	@PHX	W  132-100	30	8-13	61.5	4-7	57.1	1-3	33.3	6	8	0	0	3	1	21
FEBRUARY			35.5	7.8-16.8	46.3	2.8-7.3	37.9	2.0-3.0	66.7	5	8.3	0.5	1.3	1.5	2.3	20.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	@POR	L  129-125	38	13-25	52	5-8	62.5	9-9	100	8	7	0	2	1	0	40
Sat 1/28	vsLAC	L  120-113	39	7-17	41.2	1-5	20	0-0	0	6	8	1	2	1	1	15
Wed 1/25	@OKC	W  137-132	38	9-19	47.4	1-8	12.5	2-2	100	2	3	1	0	3	4	21
Mon 1/23	@CHI	L  111-100	36	9-19	47.4	2-7	28.6	0-0	0	7	4	0	0	1	2	20
Sat 1/21	vsCHA	L  122-118	37	11-20	55	4-6	66.7	0-0	0	3	3	0	1	0	3	26
Fri 1/20	vsNY	W  139-124	36	14-25	56	1-4	25	0-0	0	6	12	0	3	1	1	29
Wed 1/18	@DAL	W  130-122	38	12-18	66.7	4-6	66.7	2-2	100	7	4	0	1	4	1	30
Mon 1/16	vsMIA	W  121-113	35	11-17	64.7	5-8	62.5	1-2	50	4	7	1	2	0	2	28
Sat 1/14	@TOR	W  114-103	39	10-17	58.8	2-5	40	5-6	83.3	8	6	0	2	2	4	27
Fri 1/13	@IND	W  113-111	36	7-18	38.9	2-4	50	2-2	100	8	6	0	1	1	1	18
Wed 1/11	vsMIL	L  114-105	38	4-16	25	1-5	20	0-0	0	4	5	0	2	0	3	9
Sun 1/8	@LAC	W  112-108	37	8-18	44.4	0-3	0	0-0	0	5	4	0	1	0	2	16
Fri 1/6	@LAL	L  130-114	35	7-18	38.9	2-4	50	0-1	0	1	6	0	1	0	1	16
Wed 1/4	@SAC	W  120-117	35	8-17	47.1	1-4	25	4-4	100	6	4	0	3	1	2	21
Mon 1/2	@GS	L  143-141 2OT	51	10-20	50	1-4	25	4-4	100	10	7	1	2	1	3	25
JANUARY			37.9	9.3-18.9	49.3	2.1-5.4	39.5	1.9-2.1	90.6	5.7	5.7	0.3	1.5	1.1	2	22.7
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/30	vsLAL	L  130-121	39	8-17	47.1	3-7	42.9	1-1	100	7	9	0	1	0	2	20
Thu 12/28	vsBKN	L  108-107	40	10-26	38.5	1-4	25	3-4	75	9	8	0	1	0	0	24
Wed 12/27	@IND	L  129-114	35	4-12	33.3	1-3	33.3	5-6	83.3	2	3	0	1	1	1	14
Sat 12/23	vsDET	W  130-105	37	10-18	55.6	3-8	37.5	3-4	75	3	5	0	4	2	1	26
Thu 12/21	vsCHI	L  110-108	40	7-17	41.2	0-3	0	1-1	100	5	10	0	0	2	5	15
Tue 12/19	vsORL	W  126-125	38	7-18	38.9	1-7	14.3	2-2	100	5	3	0	2	4	3	17
Thu 12/7	@NY	L  113-89	4	0-0	0	0-0	0	2-2	100	0	0	0	0	0	0	2
Tue 12/5	vsOKC	L  121-114	38	10-21	47.6	3-5	60	1-3	33.3	6	3	2	2	4	3	24
Sat 12/2	vsDEN	W  117-109	35	13-22	59.1	4-7	57.1	4-6	66.7	3	8	1	0	1	1	34
DECEMBER			33.9	7.7-16.8	45.7	1.8-4.9	36.4	2.4-3.2	75.9	4.4	5.4	0.3	1.2	1.6	1.8	19.6
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	@ORL	W  125-108	39	11-23	47.8	3-8	37.5	2-3	66.7	3	6	1	2	1	5	27
Tue 11/28	@PHI	L  104-101	40	6-13	46.2	3-6	50	2-2	100	5	6	1	1	3	7	17
Mon 11/27	vsMIA	L  106-98	39	5-16	31.3	2-8	25	1-2	50	5	2	0	1	0	2	13
Sat 11/25	@HOU	L  128-122	36	14-24	58.3	8-13	61.5	3-3	100	3	3	0	2	2	3	39
