2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	vsDET	W  113-85	32	7-14	50	0-0	0	5-6	83.3	8	3	0	0	1	3	19
Mon 2/6	@WSH	W  114-91	28	7-13	53.8	0-0	0	2-3	66.7	5	2	2	2	3	1	16
Sun 2/5	@IND	W  122-103	31	7-12	58.3	0-1	0	3-4	75	10	4	3	1	4	0	17
Thu 2/2	vsMEM	W  128-113	33	7-17	41.2	0-2	0	3-5	60	14	5	2	1	3	3	17
FEBRUARY			31.3	7.0-14.0	50	0.0-0.8	0	3.3-4.5	72.2	9.3	3.5	1.8	1	2.8	1.8	17.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	vsMIA	L  100-97	38	9-15	60	0-2	0	1-2	50	7	4	2	0	3	0	19
Sun 1/29	vsLAC	W  122-99	27	4-9	44.4	1-1	100	0-0	0	9	3	3	1	4	0	9
Fri 1/27	@OKC	L  112-100	38	9-18	50	2-2	100	3-4	75	11	1	2	0	5	4	23
Thu 1/26	@HOU	W  113-95	33	6-16	37.5	0-3	0	9-10	90	10	3	2	1	3	3	21
Tue 1/24	@NY	L  105-103	38	6-11	54.5	0-1	0	0-0	0	7	3	2	1	4	3	12
Sat 1/21	vsMIL	W  114-102	38	19-27	70.4	0-2	0	0-1	0	9	3	0	0	1	4	38
Fri 1/20	vsGS	L  120-114	37	7-12	58.3	0-2	0	3-4	75	7	2	1	0	1	0	17
Wed 1/18	@MEM	L  115-114	39	9-15	60	0-1	0	0-2	0	15	3	2	1	2	6	18
Mon 1/16	vsNO	W  113-103	40	8-10	80	0-0	0	3-4	75	8	0	1	0	2	2	19
Sat 1/14	@MIN	L  110-102	32	6-11	54.5	0-2	0	7-8	87.5	8	1	0	0	3	3	19
Thu 1/12	@POR	W  119-113	25	6-12	50	0-1	0	5-6	83.3	8	3	1	1	4	0	17
Tue 1/10	@UTAH	L  116-114	37	5-8	62.5	0-0	0	2-4	50	7	1	4	1	6	0	12
Sun 1/8	@PHX	W  112-98	34	7-10	70	0-0	0	0-0	0	8	6	1	0	0	3	14
Fri 1/6	@DEN	L  121-108	34	6-13	46.2	0-2	0	0-6	0	9	4	3	1	4	1	12
Wed 1/4	vsPHX	W  90-88	32	2-9	22.2	0-0	0	2-2	100	8	1	0	2	1	4	6
JANUARY			34.7	7.3-13.1	55.6	0.2-1.3	15.8	2.3-3.5	66	8.7	2.5	1.6	0.6	2.9	2.2	17.1
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Fri 12/29	@IND	L  135-126	32	5-10	50	0-1	0	3-3	100	7	7	1	2	2	3	13
Tue 12/26	vsBKN	L  125-117	39	5-11	45.5	0-3	0	2-2	100	6	2	1	1	3	3	12
Sat 12/23	vsTOR	L  118-107	32	5-7	71.4	0-0	0	0-0	0	8	3	1	0	0	2	10
Thu 12/21	vsMIL	W  114-106	23	3-7	42.9	0-3	0	1-2	50	3	1	1	1	5	2	7
Tue 12/19	vsUTAH	W  122-99	31	4-6	66.7	0-1	0	4-6	66.7	8	3	0	0	2	1	12
Sun 12/17	vsDAL	W  100-99 OT	36	6-10	60	1-1	100	4-5	80	8	4	0	0	3	0	17
Sat 12/16	vsIND	W  118-112	31	6-10	60	1-2	50	3-4	75	9	2	2	0	2	1	16
Thu 12/14	@DAL	W  105-90	35	5-9	55.6	0-1	0	4-4	100	7	6	1	0	5	1	14
Tue 12/12	@SA	L  112-111	38	7-12	58.3	0-0	0	3-4	75	13	4	1	0	2	3	17
Sun 12/10	vsOKC	W  110-102	37	8-14	57.1	2-3	66.7	3-5	60	12	3	0	0	4	2	21
Sat 12/9	vsSAC	L  106-95	41	5-13	38.5	0-3	0	7-9	77.8	7	4	0	1	3	4	17
