2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 2/6	@POR	W  127-108	23	9-14	64.3	0-1	0	6-8	75	13	8	0	0	5	6	24
Sat 2/4	vsMIA	W  123-115	36	13-19	68.4	0-2	0	9-16	56.3	15	11	1	1	2	3	35
Thu 2/2	vsLAC	W  106-105	36	21-39	53.8	2-8	25	10-15	66.7	19	2	0	0	2	3	54
FEBRUARY			31.7	14.3-24.0	59.7	0.7-3.7	18.2	8.3-13.0	64.1	15.7	7	0.3	0.3	3	4	37.7
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	vsCHA	W  124-115	36	14-24	58.3	1-3	33.3	5-6	83.3	18	4	0	0	3	4	34
Sun 1/29	vsNO	W  135-110	30	20-26	76.9	3-4	75	7-12	58.3	13	4	0	0	5	3	50
Fri 1/27	@IND	W  141-131	34	16-29	55.2	2-7	28.6	7-18	38.9	12	6	1	1	3	2	41
Wed 1/25	vsDEN	W  107-99	31	9-15	60	0-0	0	15-22	68.2	14	4	0	3	4	9	33
Mon 1/23	@DET	W  150-130	27	8-15	53.3	2-4	50	11-17	64.7	12	4	0	0	1	4	29
Wed 1/11	@ATL	W  114-105	35	3-10	30	0-0	0	1-4	25	18	10	1	0	5	1	7
Mon 1/9	@NY	W  111-107	36	6-15	40	1-3	33.3	9-12	75	10	5	2	0	2	4	22
Fri 1/6	vsCHA	L  138-109	22	2-7	28.6	0-2	0	5-11	45.5	4	0	0	0	2	3	9
Wed 1/4	@TOR	W  104-101 OT	40	7-18	38.9	1-3	33.3	15-21	71.4	21	10	1	0	4	12	30
Tue 1/3	vsWSH	W  123-113	37	20-33	60.6	0-3	0	15-16	93.8	10	7	0	2	3	5	55
JANUARY			32.7	10.5-19.2	54.7	1.0-2.9	34.5	9.0-13.9	64.7	13.2	5.4	0.5	0.6	3.2	4.7	31
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/30	vsMIN	W  123-114	38	14-23	60.9	1-1	100	14-21	66.7	20	5	2	1	3	5	43
Thu 12/28	@CHI	L  119-113 OT	42	17-39	43.6	0-3	0	11-17	64.7	22	7	0	1	5	5	45
Mon 12/25	@BOS	L  139-118	35	9-22	40.9	1-5	20	8-12	66.7	9	3	0	0	3	3	27
Sat 12/23	@BKN	L  118-100	36	9-13	69.2	0-1	0	8-11	72.7	13	7	0	2	3	7	26
Thu 12/21	@CLE	L  114-106	40	17-27	63	0-1	0	11-16	68.8	14	4	2	1	4	5	45
Tue 12/19	@NO	W  128-119	34	12-17	70.6	1-3	33.3	17-22	77.3	10	1	1	0	4	2	42
Fri 12/15	@MEM	L  142-101	26	5-13	38.5	1-3	33.3	8-13	61.5	6	5	0	1	2	1	19
Wed 12/13	vsGS	W  128-111	30	9-26	34.6	1-6	16.7	11-17	64.7	12	5	1	1	4	4	30
Mon 12/11	@HOU	L  97-92	37	7-17	41.2	0-2	0	2-6	33.3	18	4	2	1	5	3	16
Sat 12/9	@DAL	W  106-105	35	10-20	50	1-1	100	7-10	70	10	3	0	1	6	7	28
Thu 12/7	vsSAC	W  126-113	33	12-19	63.2	2-2	100	9-10	90	6	7	0	1	4	3	35
Tue 12/5	@ORL	W  109-102	33	12-21	57.1	2-4	50	8-11	72.7	13	5	2	1	4	4	34
Sat 12/2	vsLAL	L  133-129	35	16-23	69.6	0-3	0	8-11	72.7	7	5	1	0	2	3	40
DECEMBER			34.8	11.5-21.5	53.2	0.8-2.7	28.6	9.4-13.6	68.9	12.3	4.7	0.8	0.8	3.8	4	33.1
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	@NY	W  109-103	37	13-25	52	2-8	25	9-12	75	13	7	1	0	6	3	37
Mon 11/27	vsDAL	W  124-115	29	11-19	57.9	0-2	0	8-10	80	11	4	0	1	5	3	30
Sat 11/25	vsCLE	W  117-102	31	13-20	65	2-3	66.7	10-14	71.4	9	6	2	0	3	3	38
Thu 11/23	vsCHI	L  118-113	34	15-27	55.6	0-2	0	6-9	66.7	11	7	0	0	5	8	36
Tue 11/21	vsPOR	W  119-111	35	16-24	66.7	0-1	0	5-12	41.7	7	6	0	2	3	1	37
Sat 11/18	@PHI	L  110-102	34	10-22	45.5	1-5	20	4-15	26.7	14	4	1	1	4	5	25
Thu 11/16	vsCLE	W  113-98	32	6-18	33.3	0-2	0	4-11	36.4	12	8	0	0	1	2	16
Tue 11/14	vsATL	L  121-106	31	8-21	38.1	0-3	0	11-18	61.1	8	4	0	1	6	8	27
Tue 11/7	@ATL	L  117-98	27	9-20	45	0-1	0	7-8	87.5	7	2	1	2	3	5	25
Sat 11/4	@MIN	W  115-102	34	7-17	41.2	2-4	50	10-20	50	14	11	0	0	3	4	26
Thu 11/2	vsDET	W  116-91	30	11-24	45.8	0-4	0	10-12	83.3	12	4	2	5	1	1	32
NOVEMBER			32.1	10.8-21.5	50.2	0.6-3.2	20	7.6-12.8	59.6	10.7	5.7	0.6	1.1	3.6	3.9	29.9
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 10/31	vsDET	W  110-108	32	12-23	52.2	0-4	0	7-9	77.8	7	2	2	0	5	4	31
Sun 10/29	vsATL	W  123-115	33	11-22	50	1-1	100	11-19	57.9	17	4	1	0	4	2	34
Sat 10/28	vsNY	W  119-108	39	11-22	50	1-6	16.7	7-11	63.6	14	9	1	1	0	2	30
Thu 10/26	vsBKN	W  110-99	38	16-25	64	1-4	25	10-14	71.4	14	5	3	1	4	7	43
Sun 10/22	vsHOU	W  125-105	28	17-21	81	2-3	66.7	8-13	61.5	12	3	0	0	2	4	44
Fri 10/20	@PHI	W  90-88	36	9-16	56.3	1-3	33.3	2-5	40	13	8	3	1	4	1	21
OCTOBER			34.2	12.7-21.5	58.9	1.0-3.5	28.6	7.5-11.8	63.4	12.8	5.2	1.7	0.5	3.2	3.3	33.8
