2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	@CLE	L  113-85	28	4-12	33.3	1-5	20	0-0	0	7	3	1	1	3	1	9
Mon 2/6	vsBOS	L  111-99	31	4-12	33.3	0-7	0	2-4	50	12	0	0	0	2	2	10
Sat 2/4	vsPHX	L  116-100	37	7-13	53.8	3-8	37.5	0-1	0	9	2	0	1	3	1	17
Fri 2/3	vsCHA	W  118-112	28	3-12	25	0-2	0	2-2	100	16	6	0	1	1	0	8
FEBRUARY			31	4.5-12.3	36.7	1.0-5.5	18.2	1.0-1.8	57.1	11	2.8	0.3	0.8	2.3	1	11
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	@DAL	L  111-105	20	2-5	40	0-0	0	3-5	60	5	0	1	1	3	1	7
Sat 1/28	vsHOU	L  117-114	24	3-6	50	0-1	0	0-0	0	6	3	1	0	2	1	6
Thu 1/26	@BKN	W  130-122	21	3-6	50	0-0	0	5-5	100	5	0	0	0	5	1	11
Thu 1/19	vsCHI	L  126-108	30	1-10	10	0-4	0	5-6	83.3	11	2	0	0	2	0	7
NBA PARIS GAME 2023																
Sun 1/15	vsNY	L  117-104	29	3-6	50	0-3	0	0-1	0	9	1	2	0	5	2	6
Sun 1/8	vsPHI	L  123-111	35	7-15	46.7	0-3	0	6-7	85.7	13	2	0	1	1	4	20
Fri 1/6	@SA	L  121-109	30	3-8	37.5	2-6	33.3	3-6	50	8	3	0	1	5	2	11
Wed 1/4	@GS	W  122-119	31	6-14	42.9	1-7	14.3	0-0	0	7	1	1	0	1	2	13
Mon 1/2	@POR	L  135-106	28	3-8	37.5	0-2	0	3-4	75	6	1	1	0	3	3	9
JANUARY			27.6	3.4-8.7	39.7	0.3-2.9	11.5	2.8-3.8	73.5	7.8	1.4	0.7	0.3	3	1.8	10
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	@MIN	W  116-104	24	3-7	42.9	0-1	0	0-0	0	7	0	1	1	2	2	6
Sat 12/30	@CHI	L  132-118	33	6-15	40	2-7	28.6	2-2	100	10	2	0	3	2	1	16
Thu 12/28	vsORL	W  121-101	27	4-12	33.3	2-8	25	1-2	50	3	0	0	0	2	1	11
Tue 12/26	vsLAC	L  142-131 OT	40	8-10	80	3-4	75	2-3	66.7	7	1	2	1	3	0	21
Sat 12/23	@ATL	L  130-105	28	2-7	28.6	2-4	50	1-2	50	4	3	0	0	1	2	7
Thu 12/21	@PHI	L  113-93	22	3-7	42.9	0-1	0	0-0	0	5	1	0	0	5	5	6
Wed 12/20	vsUTAH	L  126-111	27	3-9	33.3	0-5	0	1-1	100	3	1	1	0	0	0	7
Mon 12/18	vsBKN	L  124-121	29	2-7	28.6	1-3	33.3	4-4	100	7	0	1	1	1	0	9
Sat 12/16	vsSAC	L  122-113	26	4-7	57.1	3-5	60	2-2	100	7	1	0	0	2	4	13
Thu 12/14	@CHA	W  141-134 OT	41	8-10	80	2-3	66.7	1-2	50	11	1	2	0	4	2	19
Mon 12/11	vsLAL	L  124-117	24	2-8	25	2-7	28.6	2-2	100	5	0	0	0	0	1	8
Sat 12/9	@MEM	L  114-103	28	5-9	55.6	3-6	50	0-0	0	7	0	2	0	4	3	13
Thu 12/7	@NO	L  104-98	30	3-8	37.5	2-5	40	2-2	100	4	1	0	0	4	1	10
Wed 12/6	@MIA	W  116-96	28	5-9	55.6	1-3	33.3	0-2	0	11	2	0	0	2	1	11
Mon 12/4	vsMEM	L  122-112	27	3-7	42.9	2-5	40	0-0	0	4	1	2	0	4	0	8
Fri 12/1	vsDAL	W  131-125 OT	37	4-12	33.3	1-4	25	0-0	0	12	3	0	0	2	1	9
DECEMBER			29.4	4.1-9.0	45.1	1.6-4.4	36.6	1.1-1.5	75	6.7	1.1	0.7	0.4	2.4	1.5	10.9
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 11/29	vsNY	L  140-110	26	6-13	46.2	5-9	55.6	2-2	100	5	1	1	0	2	2	19
Tue 11/14	vsTOR	L  115-111	13	3-6	50	2-2	100	1-1	100	4	0	1	0	2	2	9
Sun 11/12	vsBOS	L  117-108	28	3-8	37.5	2-4	50	0-0	0	9	2	0	1	3	1	8
Sat 11/11	@NY	L  121-112	29	4-7	57.1	2-4	50	3-4	75	8	3	2	0	4	2	13
