2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	vsDET	W  113-85	30	9-13	69.2	0-0	0	2-5	40	16	1	1	0	1	2	20
Mon 2/6	@WSH	W  114-91	37	10-13	76.9	0-0	0	3-4	75	8	3	2	0	1	2	23
Sun 2/5	@IND	W  122-103	30	9-11	81.8	0-0	0	0-0	0	13	0	1	0	3	2	18
Thu 2/2	vsMEM	W  128-113	38	9-12	75	0-0	0	0-0	0	11	4	2	2	2	3	18
FEBRUARY			33.8	9.3-12.3	75.5	0.0-0.0	0	1.3-2.3	55.6	12	2	1.5	0.5	1.8	2.3	19.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	vsMIA	L  100-97	34	6-8	75	0-0	0	2-3	66.7	11	0	1	2	2	2	14
Sun 1/29	vsLAC	W  122-99	26	6-10	60	1-1	100	2-3	66.7	8	3	0	2	2	5	15
Fri 1/27	@OKC	L  112-100	36	6-8	75	0-0	0	1-2	50	9	0	1	0	1	0	13
Thu 1/26	@HOU	W  113-95	35	6-10	60	0-0	0	2-2	100	10	1	0	3	2	1	14
Tue 1/24	@NY	L  105-103	39	12-17	70.6	0-0	0	0-0	0	12	1	1	0	1	2	24
Sat 1/21	vsMIL	W  114-102	27	6-10	60	0-0	0	0-0	0	6	2	1	2	3	2	12
Fri 1/20	vsGS	L  120-114	31	4-7	57.1	0-0	0	0-0	0	8	2	3	0	3	1	8
Wed 1/18	@MEM	L  115-114	36	6-9	66.7	0-0	0	2-5	40	8	0	2	0	4	2	14
Mon 1/16	vsNO	W  113-103	37	9-12	75	0-0	0	6-6	100	11	5	1	2	2	1	24
Sat 1/14	@MIN	L  110-102	34	8-10	80	0-0	0	3-3	100	8	2	2	0	3	3	19
Thu 1/12	@POR	W  119-113	39	11-17	64.7	0-1	0	2-2	100	10	6	0	1	3	0	24
Tue 1/10	@UTAH	L  116-114	7	0-0	0	0-0	0	0-0	0	0	1	0	0	2	0	0
Sun 1/8	@PHX	W  112-98	29	6-7	85.7	0-0	0	1-2	50	12	5	2	1	0	0	13
Fri 1/6	@DEN	L  121-108	36	4-11	36.4	0-1	0	5-8	62.5	9	1	1	1	2	1	13
Wed 1/4	vsPHX	W  90-88	33	1-3	33.3	0-1	0	0-0	0	8	0	1	1	1	1	2
Mon 1/2	vsCHI	W  145-134 OT	39	9-10	90	0-0	0	3-6	50	8	2	1	0	4	1	21
JANUARY			32.3	6.3-9.3	67.1	0.1-0.3	25	1.8-2.6	69	8.6	1.9	1.1	0.9	2.2	1.4	14.4
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	@CHI	W  103-102	35	3-9	33.3	0-0	0	0-2	0	10	2	2	2	1	2	6
Fri 12/29	@IND	L  135-126	38	8-11	72.7	0-0	0	3-4	75	14	1	1	1	2	1	19
Tue 12/26	vsBKN	L  125-117	32	2-5	40	0-1	0	6-8	75	11	1	1	1	0	2	10
Sat 12/23	vsTOR	L  118-107	31	5-6	83.3	0-0	0	1-2	50	7	1	0	1	2	0	11
Thu 12/21	vsMIL	W  114-106	40	8-10	80	0-0	0	3-4	75	8	3	0	1	1	1	19
Tue 12/19	vsUTAH	W  122-99	30	7-11	63.6	0-0	0	6-6	100	11	2	3	2	3	3	20
Sun 12/17	vsDAL	W  100-99 OT	40	3-7	42.9	0-0	0	2-6	33.3	15	1	2	0	1	0	8
Sat 12/16	vsIND	W  118-112	39	2-3	66.7	0-0	0	3-4	75	5	2	0	0	2	0	7
Thu 12/14	@DAL	W  105-90	36	6-7	85.7	0-0	0	2-2	100	6	3	0	2	3	0	14
Tue 12/12	@SA	L  112-111	36	7-11	63.6	0-0	0	2-2	100	7	3	3	1	2	0	16
Sun 12/10	vsOKC	W  110-102	37	7-9	77.8	0-0	0	7-13	53.8	11	1	1	1	4	1	21
Sat 12/9	vsSAC	L  106-95	32	2-5	40	0-1	0	5-6	83.3	8	1	2	0	5	5	9
Wed 12/6	vsLAL	W  116-102	38	11-14	78.6	0-0	0	2-4	50	11	1	1	3	2	2	24
DECEMBER			35.5	5.5-8.3	65.7	0.0-0.2	0	3.2-4.8	66.7	9.5	1.7	1.2	1.2	2.2	1.3	14.2
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 11/25	@MIL	L  117-102	12	0-2	0	0-0	0	1-2	50	3	1	1	1	2	0	1
Thu 11/23	vsPOR	W  114-96	36	10-12	83.3	0-0	0	4-4	100	13	2	0	1	3	6	24
Tue 11/21	vsATL	W  114-102	33	3-5	60	0-0	0	2-2	100	11	1	1	2	0	1	8
Mon 11/20	vsMIA	W  113-87	27	4-6	66.7	0-0	0	0-0	0	6	2	0	0	3	3	8
Sat 11/18	vsCHA	W  132-122 2OT	46	8-11	72.7	0-0	0	4-5	80	12	2	4	0	3	2	20
Sat 11/11	@GS	L  106-101	33	6-8	75	0-0	0	1-2	50	9	1	0	0	2	2	13
Thu 11/9	@SAC	L  127-120	33	7-11	63.6	0-0	0	6-7	85.7	7	1	1	0	4	1	20
Tue 11/7	@LAC	L  119-117	33	4-10	40	0-0	0	2-3	66.7	20	3	2	2	0	0	10
Mon 11/6	@LAL	W  114-100	28	5-13	38.5	0-0	0	6-6	100	11	0	2	2	4	1	16
Sat 11/4	@DET	W  112-88	32	11-16	68.8	0-0	0	1-2	50	7	0	2	0	2	4	23
Thu 11/2	vsBOS	W  114-113 OT	36	6-11	54.5	0-0	0	2-2	100	14	0	2	0	2	3	14
NOVEMBER			31.7	5.8-9.5	61	0.0-0.0	0	2.6-3.2	82.9	10.3	1.2	1.4	0.7	2.3	2.1	14.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 10/30	vsNY	W  121-108	26	3-8	37.5	0-1	0	0-0	0	13	1	0	0	0	2	6
Sat 10/28	@BOS	W  132-123 OT	40	5-9	55.6	0-1	0	2-4	50	11	2	0	0	2	0	12
