2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	@CLE	L  113-85	27	6-8	75	0-0	0	2-2	100	9	2	3	0	2	0	14
Mon 2/6	vsBOS	L  111-99	28	3-4	75	0-0	0	1-1	100	14	0	0	0	2	1	7
Sat 2/4	vsPHX	L  116-100	28	0-2	0	0-0	0	1-2	50	6	3	1	0	4	2	1
Fri 2/3	vsCHA	W  118-112	33	6-8	75	0-0	0	1-2	50	13	2	1	1	4	5	13
FEBRUARY			29	3.8-5.5	68.2	0.0-0.0	0	1.3-1.8	71.4	10.5	1.8	1.3	0.3	3	2	8.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	@DAL	L  111-105	28	4-4	100	0-0	0	1-2	50	4	1	3	1	2	1	9
Sat 1/28	vsHOU	L  117-114	24	3-4	75	0-0	0	3-4	75	5	0	1	2	5	0	9
Thu 1/26	@BKN	W  130-122	27	7-8	87.5	0-0	0	3-3	100	7	2	1	1	3	0	17
Mon 1/23	vsMIL	L  150-130	31	9-13	69.2	0-0	0	5-5	100	15	1	2	2	2	1	23
Thu 1/19	vsCHI	L  126-108	18	4-4	100	0-0	0	3-4	75	12	1	2	1	2	2	11
NBA PARIS GAME 2023																
Fri 1/6	@SA	L  121-109	27	5-8	62.5	0-0	0	1-1	100	9	0	0	2	2	1	11
Wed 1/4	@GS	W  122-119	32	8-8	100	0-0	0	2-3	66.7	11	0	0	0	2	3	18
Mon 1/2	@POR	L  135-106	22	2-6	33.3	0-0	0	1-2	50	11	3	1	1	2	0	5
JANUARY			26.1	5.3-6.9	76.4	0.0-0.0	0	2.4-3.0	79.2	9.3	1	1.3	1.3	2.5	1	12.9
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	@MIN	W  116-104	14	1-1	100	0-0	0	1-2	50	0	1	0	0	4	1	3
Sat 12/30	@CHI	L  132-118	31	2-4	50	0-0	0	0-0	0	8	3	0	0	2	1	4
Thu 12/28	vsORL	W  121-101	34	3-5	60	0-0	0	1-2	50	18	4	1	0	5	2	7
Tue 12/26	vsLAC	L  142-131 OT	39	7-11	63.6	0-0	0	1-1	100	12	2	1	1	3	1	15
Sat 12/23	@ATL	L  130-105	28	5-7	71.4	0-0	0	3-4	75	8	0	1	0	2	1	13
Thu 12/21	@PHI	L  113-93	28	3-4	75	0-0	0	1-2	50	8	4	0	0	2	2	7
Wed 12/20	vsUTAH	L  126-111	30	7-9	77.8	0-0	0	1-1	100	14	0	0	0	3	1	15
Mon 12/18	vsBKN	L  124-121	29	4-5	80	0-0	0	0-0	0	11	2	0	3	3	2	8
Sat 12/16	vsSAC	L  122-113	30	5-7	71.4	0-0	0	5-6	83.3	14	1	1	0	4	0	15
Thu 12/14	@CHA	W  141-134 OT	36	2-8	25	0-0	0	3-4	75	19	2	3	0	4	3	7
Mon 12/11	vsLAL	L  124-117	24	1-1	100	0-0	0	1-2	50	13	2	0	1	4	1	3
Sat 12/9	@MEM	L  114-103	28	5-7	71.4	0-0	0	0-0	0	12	0	0	0	3	1	10
Thu 12/7	@NO	L  104-98	27	5-5	100	0-0	0	2-2	100	13	0	0	1	0	3	12
Wed 12/6	@MIA	W  116-96	18	2-3	66.7	0-0	0	0-0	0	4	0	0	0	2	2	4
Mon 12/4	vsMEM	L  122-112	15	0-0	0	0-0	0	0-0	0	3	3	2	1	3	1	0
Fri 12/1	vsDAL	W  131-125 OT	18	5-7	71.4	0-0	0	1-4	25	2	0	0	2	2	1	11
DECEMBER			26.8	3.6-5.3	67.9	0.0-0.0	0	1.3-1.9	66.7	9.9	1.5	0.6	0.6	2.9	1.4	8.4
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 11/29	vsNY	L  140-110	27	6-7	85.7	0-0	0	0-0	0	5	1	0	1	3	1	12
Mon 11/27	vsCLE	L  102-94	20	0-3	0	0-0	0	1-2	50	6	1	0	0	2	0	1
Sat 11/25	@PHX	L  108-102	14	0-1	0	0-0	0	4-4	100	5	2	0	0	3	1	4
Thu 11/23	@UTAH	W  125-116	27	2-4	50	0-0	0	0-0	0	7	0	2	2	3	1	4
Wed 11/22	@DEN	W  110-108	26	2-3	66.7	0-0	0	0-0	0	7	2	0	1	4	0	4
Mon 11/20	@SAC	L  137-129	27	6-8	75	0-0	0	0-0	0	8	1	0	1	2	1	12
Sat 11/18	@LAL	L  128-121	22	5-7	71.4	0-0	0	2-2	100	8	0	1	1	4	1	12
Fri 11/17	@LAC	L  96-91	25	3-6	50	0-0	0	2-3	66.7	9	0	1	0	3	1	8
Tue 11/14	vsTOR	L  115-111	19	1-1	100	0-0	0	0-2	0	6	0	0	0	3	1	2
Sun 11/12	vsBOS	L  117-108	17	1-1	100	0-0	0	0-0	0	12	1	0	2	2	1	2
Sat 11/11	@NY	L  121-112	21	0-1	0	0-0	0	1-4	25	8	0	1	0	1	1	1
Thu 11/9	@BOS	L  128-112	30	5-8	62.5	0-0	0	0-0	0	10	2	1	1	1	0	10
Tue 11/7	vsOKC	W  112-103	21	2-5	40	0-0	0	3-6	50	4	0	3	0	3	1	7
NOVEMBER			22.8	2.5-4.2	60	0.0-0.0	0	1.0-1.8	56.5	7.3	0.8	0.7	0.7	2.6	0.8	6.1
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 10/30	vsGS	W  128-114	15	1-3	33.3	0-0	0	1-2	50	4	0	1	0	2	1	3
Sat 10/28	vsATL	L  136-112	23	2-4	50	0-0	0	4-6	66.7	3	0	2	0	4	3	8
Thu 10/26	vsATL	L  118-113	21	3-4	75	0-0	0	1-2	50	9	0	1	0	2	1	7
