2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	@BOS	L  106-99	39	11-21	52.4	1-3	33.3	5-7	71.4	7	1	1	2	3	2	28
Sun 2/5	@NY	L  108-97	36	6-16	37.5	1-4	25	18-19	94.7	14	3	1	0	1	5	31
Fri 2/3	@SA	W  137-125	28	10-18	55.6	2-3	66.7	11-13	84.6	10	4	0	2	2	3	33
Wed 2/1	vsORL	W  105-94	35	9-17	52.9	0-1	0	10-10	100	11	3	1	0	2	2	28
FEBRUARY			34.5	9.0-18.0	50	1.0-2.8	36.4	11.0-12.3	89.8	10.5	2.8	0.8	1	2	3	30
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	vsORL	L  119-109	33	11-20	55	1-3	33.3	7-11	63.6	11	5	2	2	5	6	30
Sat 1/28	vsDEN	W  126-119	38	18-31	58.1	4-7	57.1	7-10	70	18	5	2	3	2	6	47
Wed 1/25	vsBKN	W  137-133	35	6-18	33.3	1-5	20	13-13	100	10	3	0	2	4	2	26
Thu 1/19	@POR	W  105-95	33	12-22	54.5	1-3	33.3	7-7	100	9	2	3	1	5	2	32
Tue 1/17	@LAC	W  120-110	33	12-22	54.5	2-5	40	15-18	83.3	9	3	2	0	2	5	41
Sun 1/15	@LAL	W  113-112	36	12-21	57.1	2-5	40	9-12	75	11	4	1	1	2	1	35
Sat 1/14	@UTAH	W  118-117	36	9-18	50	2-3	66.7	10-13	76.9	7	2	2	0	2	2	30
Thu 1/12	vsOKC	L  133-114	28	10-17	58.8	0-1	0	10-10	100	10	2	1	0	5	3	30
Tue 1/10	vsDET	W  147-116	24	12-20	60	1-3	33.3	11-11	100	11	1	2	0	3	3	36
Mon 1/2	vsNO	W  120-111	36	15-24	62.5	2-3	66.7	10-10	100	11	5	1	1	5	4	42
JANUARY			33.1	11.7-21.3	54.9	1.6-3.8	42.1	9.9-11.5	86.1	10.7	3.2	1.6	1	3.5	3.4	34.9
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	@OKC	W  115-96	28	6-17	35.3	0-3	0	4-6	66.7	13	10	4	1	3	4	16
Sat 12/30	@NO	L  127-116	34	14-22	63.6	1-2	50	8-10	80	8	5	1	1	5	5	37
Wed 12/27	@WSH	L  116-111	36	17-32	53.1	1-5	20	13-14	92.9	10	1	3	3	5	3	48
Mon 12/25	@NY	W  119-112	34	12-22	54.5	1-2	50	10-15	66.7	8	1	0	0	3	3	35
Sat 12/23	vsLAC	W  119-114	38	18-30	60	1-4	25	7-7	100	7	3	2	1	5	1	44
Thu 12/21	vsDET	W  113-93	34	6-16	37.5	0-1	0	10-11	90.9	10	6	4	0	3	1	22
Tue 12/19	vsTOR	W  104-101 OT	42	6-16	37.5	2-3	66.7	14-15	93.3	11	4	0	2	4	3	28
Sat 12/16	vsGS	W  118-106	36	11-23	47.8	2-3	66.7	10-12	83.3	13	4	2	4	0	6	34
Wed 12/13	vsSAC	W  123-103	30	10-16	62.5	0-1	0	11-13	84.6	7	2	1	1	3	3	31
Mon 12/11	vsCHA	W  131-113	34	20-32	62.5	2-3	66.7	11-11	100	12	3	1	0	2	2	53
Sat 12/9	vsLAL	W  133-122 OT	46	14-19	73.7	3-4	75	7-8	87.5	12	5	0	1	4	7	38
Tue 12/5	@HOU	L  132-123 2OT	35	12-21	57.1	1-2	50	14-17	82.4	7	3	2	2	6	5	39
Sat 12/2	@MEM	L  117-109	41	13-26	50	1-3	33.3	8-9	88.9	11	8	3	1	4	3	35
DECEMBER			36.1	12.2-22.5	54.5	1.2-2.8	41.7	9.8-11.4	85.8	9.9	4.2	1.8	1.3	3.6	3.5	35.4
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	@CLE	L  113-85	29	6-16	37.5	0-0	0	7-9	77.8	6	6	0	3	2	1	19
Tue 11/28	vsATL	W  104-101	35	9-18	50	0-1	0	12-13	92.3	8	7	2	2	2	4	30
Sun 11/19	vsMIN	L  112-109	36	6-15	40	2-4	50	18-20	90	9	6	0	3	3	6	32
Sat 11/18	vsMIL	W  110-102	37	12-26	46.2	2-6	33.3	6-8	75	11	8	3	1	2	5	32
