2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	@LAL	W  133-130	35	10-19	52.6	0-3	0	0-0	0	5	6	0	0	2	4	20
Mon 2/6	@GS	L  141-114	29	6-12	50	0-1	0	3-4	75	7	8	1	1	1	4	15
Sat 2/4	vsHOU	W  153-121	28	8-13	61.5	1-4	25	0-0	0	8	10	1	3	1	2	17
Wed 2/1	@HOU	L  112-106	38	9-18	50	2-6	33.3	0-0	0	8	8	1	1	4	3	20
FEBRUARY			32.3	8.3-15.5	53.2	0.8-3.5	21.4	0.8-1.0	75	7	8	0.8	1.3	2	3.3	18
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	vsGS	L  128-120	29	9-18	50	1-3	33.3	2-4	50	8	6	0	3	2	5	21
Fri 1/27	vsCLE	W  112-100	28	6-12	50	0-0	0	3-4	75	6	3	0	0	1	4	15
Wed 1/25	vsATL	L  137-132	30	8-19	42.1	0-1	0	0-1	0	8	6	0	2	2	2	16
Sun 1/22	@DEN	W  101-99	31	9-17	52.9	0-1	0	0-0	0	9	3	1	1	1	4	18
Fri 1/20	@SAC	L  118-113	30	7-13	53.8	1-4	25	0-0	0	10	5	1	0	1	2	15
Wed 1/18	vsIND	W  126-106	30	8-12	66.7	0-2	0	0-0	0	6	11	1	1	6	5	16
Sun 1/15	@BKN	W  112-102	37	12-21	57.1	1-4	25	3-4	75	9	9	0	0	2	1	28
Fri 1/13	@CHI	W  124-110	32	11-18	61.1	1-3	33.3	2-2	100	10	6	2	0	2	3	25
Thu 1/12	@PHI	W  133-114	36	7-14	50	1-3	33.3	5-5	100	4	8	0	1	2	3	20
Tue 1/10	@MIA	L  112-111	32	8-18	44.4	0-4	0	2-2	100	15	10	1	0	4	6	18
Sun 1/8	vsDAL	W  120-109	26	4-12	33.3	2-4	50	0-0	0	5	5	0	0	5	1	10
Fri 1/6	vsWSH	W  127-110	37	9-16	56.3	2-2	100	0-0	0	6	9	0	1	2	2	20
Wed 1/4	@ORL	L  126-115	31	7-17	41.2	2-7	28.6	0-0	0	5	4	0	0	2	3	16
Tue 1/3	vsBOS	W  150-117	24	10-15	66.7	3-5	60	2-2	100	5	5	0	2	2	0	25
JANUARY			30.9	8.2-15.9	51.8	1.0-3.1	32.6	1.4-1.7	79.2	7.6	6.4	0.4	0.8	2.4	2.9	18.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	vsPHI	L  115-96	32	9-15	60	1-3	33.3	1-1	100	9	2	1	1	2	1	20
Fri 12/29	@CHA	L  121-113	33	7-15	46.7	0-3	0	7-7	100	10	3	0	1	2	3	21
