2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	vsGS	W  125-122	40	7-12	58.3	1-4	25	7-8	87.5	4	1	1	0	3	4	22
Mon 2/6	vsMIL	L  127-108	36	4-13	30.8	1-7	14.3	4-5	80	3	0	2	0	3	0	13
Sat 2/4	@CHI	L  129-121	40	5-13	38.5	1-6	16.7	2-3	66.7	5	4	0	0	1	2	13
Fri 2/3	@WSH	W  124-116	36	2-8	25	1-3	33.3	5-6	83.3	8	3	0	1	4	1	10
Wed 2/1	@MEM	W  122-112	20	6-12	50	1-3	33.3	5-5	100	3	1	1	0	0	0	18
FEBRUARY			34.4	4.8-11.6	41.4	1.0-4.6	21.7	4.6-5.4	85.2	4.6	1.8	0.8	0.2	2.2	1.4	15.2
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	vsATL	W  129-125	35	8-17	47.1	4-9	44.4	2-2	100	2	1	2	0	3	2	22
Sat 1/28	vsTOR	L  123-105	41	9-19	47.4	1-4	25	7-9	77.8	8	3	2	1	2	1	26
Wed 1/25	vsUTAH	W  134-124	42	9-15	60	0-2	0	1-2	50	5	2	1	2	1	1	19
Mon 1/23	vsSA	W  147-127	28	1-9	11.1	1-3	33.3	0-0	0	2	2	1	0	0	1	3
Sun 1/22	vsLAL	L  121-112	35	6-16	37.5	2-4	50	5-6	83.3	4	1	0	1	4	2	19
Thu 1/19	vsPHI	L  105-95	39	8-14	57.1	2-6	33.3	6-6	100	5	0	0	0	2	2	24
Tue 1/17	@DEN	L  122-113	33	7-15	46.7	2-4	50	2-3	66.7	4	2	0	2	3	0	18
Sun 1/15	vsDAL	W  140-123	25	7-10	70	4-5	80	2-2	100	4	1	0	1	5	1	20
Sat 1/14	vsDAL	W  136-119	34	6-9	66.7	2-4	50	2-2	100	5	4	1	2	2	2	16
Thu 1/12	vsCLE	L  119-113	36	8-16	50	2-7	28.6	4-7	57.1	1	1	2	2	5	4	22
Tue 1/10	vsORL	L  109-106	41	8-19	42.1	0-6	0	0-0	0	6	1	3	1	5	2	16
Sun 1/8	@TOR	L  117-105	40	4-11	36.4	1-6	16.7	5-6	83.3	5	0	1	1	2	0	14
Fri 1/6	@IND	L  108-99	37	6-15	40	0-5	0	3-3	100	4	2	0	0	2	2	15
Wed 1/4	@MIN	L  113-106	32	8-14	57.1	4-6	66.7	6-6	100	5	1	0	3	2	0	26
Mon 1/2	vsDET	W  135-106	28	12-17	70.6	5-8	62.5	7-9	77.8	2	0	0	1	1	2	36
JANUARY			35	7.1-14.4	49.5	2.0-5.3	38	3.5-4.2	82.5	4.1	1.4	0.9	1.1	2.6	1.5	19.7
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/30	@GS	L  118-112	41	8-16	50	1-7	14.3	2-2	100	3	5	0	0	1	3	19
Tue 12/26	vsCHA	W  124-113	37	12-19	63.2	4-6	66.7	4-4	100	10	5	2	1	3	1	32
Sat 12/23	@DEN	L  120-107	37	7-13	53.8	3-6	50	3-5	60	7	2	0	1	3	2	20
Thu 12/21	@OKC	L  101-98	35	7-14	50	2-4	50	1-3	33.3	5	4	1	0	2	2	17
Tue 12/19	@OKC	L  123-121	42	10-18	55.6	1-5	20	5-7	71.4	8	3	0	2	2	4	26
Sat 12/16	@DAL	L  130-110	21	2-9	22.2	1-3	33.3	2-2	100	0	1	0	0	0	0	7
Thu 12/14	@SA	W  128-112	35	7-13	53.8	2-6	33.3	2-3	66.7	4	2	1	1	2	3	18
Tue 12/12	vsMIN	W  133-112	32	7-12	58.3	3-6	50	7-7	100	3	2	1	0	4	2	24
Sun 12/10	vsMIN	W  124-118	39	6-13	46.2	2-5	40	3-3	100	7	2	0	0	3	2	17
Fri 12/8	vsDEN	L  121-120	38	6-15	40	2-7	28.6	4-4	100	3	3	1	1	3	1	18
Mon 12/4	vsIND	W  116-100	33	9-21	42.9	3-10	30	7-7	100	5	3	0	0	2	2	28
Sun 12/3	@UTAH	W  116-111	37	10-18	55.6	2-5	40	11-14	78.6	0	5	0	0	2	1	33
DECEMBER			35.7	7.6-15.1	50.3	2.2-5.8	37.1	4.3-5.1	83.6	4.6	3.1	0.5	0.5	2.3	1.9	21.6
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	@LAL	L  128-109	35	10-23	43.5	2-5	40	5-6	83.3	4	5	1	2	2	0	27
Wed 11/29	vsLAC	L  118-112	38	12-24	50	5-11	45.5	3-4	75	3	2	2	2	6	2	32
Mon 11/27	@BKN	L  111-97	40	11-24	45.8	5-10	50	2-2	100	4	5	0	0	2	1	29
Sat 11/25	@NY	W  132-129 OT	40	10-20	50	3-7	42.9	21-28	75	1	2	1	0	4	2	44
Thu 11/23	@CLE	L  114-96	36	6-12	50	5-8	62.5	4-4	100	3	3	0	3	1	4	21
Tue 11/21	@MIL	L  119-111	35	6-16	37.5	0-2	0	6-8	75	4	2	2	0	2	2	18
Sun 11/19	vsUTAH	L  118-113	37	5-11	45.5	4-7	57.1	0-0	0	2	1	2	2	2	0	14
Fri 11/17	vsBKN	L  109-107	37	2-13	15.4	1-5	20	0-0	0	5	3	1	1	4	1	5
Wed 11/15	vsSA	W  117-110	37	9-15	60	6-8	75	5-8	62.5	8	1	0	1	1	2	29
Sun 11/12	@DAL	L  117-112	39	13-22	59.1	5-9	55.6	6-6	100	6	2	2	0	2	2	37
Fri 11/10	@NO	W  106-95	42	10-20	50	4-8	50	3-5	60	8	4	1	4	3	2	27
Tue 11/7	@MIA	W  110-107	35	9-15	60	5-8	62.5	0-0	0	6	2	1	0	3	3	23
Sun 11/5	@PHX	L  102-82	26	4-10	40	1-1	100	5-6	83.3	5	3	1	0	1	3	14
Sat 11/4	@PHX	W  108-106	39	10-17	58.8	1-3	33.3	9-11	81.8	2	5	1	0	3	3	30
Thu 11/2	vsMEM	L  111-106	38	7-18	38.9	3-9	33.3	6-7	85.7	5	3	1	0	1	4	23
NOVEMBER			37.1	8.3-17.3	47.7	3.3-6.7	49.5	5.0-6.3	78.9	4.4	2.9	1.1	1	2.5	2.1	24.9
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 10/28	vsHOU	W  125-111	35	5-11	45.5	2-6	33.3	3-4	75	5	4	1	2	2	3	15
Thu 10/26	vsMIA	L  119-98	28	4-10	40	1-5	20	2-5	40	3	4	0	0	0	3	11
Tue 10/24	vsDEN	W  135-110	36	7-13	53.8	1-6	16.7	6-7	85.7	2	1	1	0	1	1	21
Mon 10/23	@LAL	W  106-104	35	5-11	45.5	2-3	66.7	4-4	100	2	1	0	0	3	1	16
Sat 10/21	vsPHX	W  113-111 OT	40	3-7	42.9	1-2	50	1-4	25	4	2	2	0	1	1	8
Thu 10/19	@SAC	W  115-108	35	5-11	45.5	3-3	100	10-13	76.9	8	1	0	2	4	1	23
OCTOBER			34.8	4.8-10.5	46	1.7-4.2	40	4.3-6.2	70.3	4	2.2	0.7	0.7	1.8	1.7	15.7
