2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 2/6	@POR	W  127-108	32	9-20	45	2-8	25	0-0	0	4	8	0	0	3	1	20
Sat 2/4	vsMIA	W  123-115	34	6-9	66.7	3-5	60	0-0	0	5	2	0	2	1	3	15
Thu 2/2	vsLAC	W  106-105	34	4-15	26.7	2-6	33.3	2-2	100	4	8	0	0	4	3	12
FEBRUARY			33.3	6.3-14.7	43.2	2.3-6.3	36.8	0.7-0.7	100	4.3	6	0	0.7	2.7	2.3	15.7
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	vsCHA	W  124-115	36	6-20	30	1-4	25	2-3	66.7	13	3	0	2	1	0	15
Sun 1/29	vsNO	W  135-110	30	7-15	46.7	1-7	14.3	2-4	50	7	6	0	0	3	3	17
Fri 1/27	@IND	W  141-131	35	7-16	43.8	1-5	20	5-6	83.3	9	9	0	1	0	6	20
Wed 1/25	vsDEN	W  107-99	36	9-20	45	2-4	50	0-0	0	5	3	2	0	1	5	20
Mon 1/23	@DET	W  150-130	30	7-12	58.3	1-5	20	1-1	100	4	7	0	2	3	0	16
Sat 1/21	@CLE	L  114-102	37	12-27	44.4	1-5	20	3-3	100	4	10	1	1	1	6	28
Tue 1/17	vsTOR	W  130-122	35	16-26	61.5	5-10	50	0-0	0	6	7	1	2	4	2	37
Mon 1/16	vsIND	W  132-119	37	13-19	68.4	5-8	62.5	4-4	100	4	11	0	2	3	2	35
Sat 1/14	@MIA	L  111-95	35	5-14	35.7	1-7	14.3	1-4	25	3	10	0	1	1	5	12
Thu 1/12	@MIA	L  108-102	33	7-10	70	3-4	75	7-8	87.5	6	11	1	0	2	3	24
Wed 1/11	@ATL	W  114-105	34	10-21	47.6	3-8	37.5	4-4	100	4	5	0	2	2	5	27
Mon 1/9	@NY	W  111-107	34	5-14	35.7	3-9	33.3	2-2	100	5	9	0	0	3	1	15
Fri 1/6	vsCHA	L  138-109	19	4-9	44.4	3-5	60	1-2	50	2	4	0	1	1	0	12
Tue 1/3	vsWSH	W  123-113	19	2-8	25	2-4	50	0-0	0	1	0	0	0	0	3	6
JANUARY			32.3	7.9-16.5	47.6	2.3-6.1	37.6	2.3-2.9	78	5.2	6.8	0.4	1	1.8	2.9	20.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 12/25	@BOS	L  139-118	37	8-14	57.1	3-6	50	4-4	100	6	7	0	2	3	3	23
Sat 12/23	@BKN	L  118-100	34	5-14	35.7	2-6	33.3	6-7	85.7	3	5	0	1	3	5	18
Thu 12/21	@CLE	L  114-106	37	3-12	25	1-4	25	2-3	66.7	9	8	2	2	3	4	9
Tue 12/19	@NO	W  128-119	34	6-12	50	2-6	33.3	4-4	100	4	11	1	2	2	3	18
Sun 12/17	vsUTAH	W  123-97	27	9-16	56.3	3-6	50	0-0	0	4	8	0	1	0	4	21
