2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	@CLE	L  113-85	26	3-6	50	2-3	66.7	2-2	100	1	1	0	1	5	4	10
Mon 2/6	vsBOS	L  111-99	27	5-12	41.7	1-3	33.3	3-5	60	1	5	0	0	0	1	14
Sat 2/4	vsPHX	L  116-100	33	5-13	38.5	2-5	40	1-5	20	0	6	0	3	4	3	13
Fri 2/3	vsCHA	W  118-112	29	8-11	72.7	4-4	100	4-4	100	3	7	1	0	3	1	24
FEBRUARY			28.8	5.3-10.5	50	2.3-3.8	60	2.5-4.0	62.5	1.3	4.8	0.3	1	3	2.3	15.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	@DAL	L  111-105	21	5-8	62.5	0-2	0	4-7	57.1	2	3	0	0	6	2	14
Sat 1/28	vsHOU	L  117-114	28	4-9	44.4	2-4	50	6-8	75	7	5	1	1	3	6	16
Thu 1/26	@BKN	W  130-122	32	5-12	41.7	1-4	25	5-5	100	3	8	1	2	2	3	16
Mon 1/23	vsMIL	L  150-130	30	4-10	40	1-4	25	3-6	50	4	11	0	2	3	4	12
Thu 1/19	vsCHI	L  126-108	33	7-14	50	1-5	20	1-1	100	3	4	0	0	2	4	16
NBA PARIS GAME 2023																
Sun 1/15	vsNY	L  117-104	37	7-19	36.8	2-8	25	5-6	83.3	6	6	1	0	5	3	21
Fri 1/13	vsNO	L  116-110	34	4-15	26.7	0-6	0	4-5	80	7	6	0	0	4	4	12
Wed 1/11	vsMIN	W  135-118	40	7-11	63.6	2-3	66.7	2-4	50	4	8	0	3	4	2	18
Tue 1/10	@PHI	L  147-116	24	4-8	50	3-5	60	6-6	100	2	4	0	1	2	4	17
Sun 1/8	vsPHI	L  123-111	28	4-13	30.8	1-2	50	1-2	50	6	6	0	0	2	4	10
Fri 1/6	@SA	L  121-109	33	8-14	57.1	2-2	100	2-2	100	3	5	0	0	4	2	20
Wed 1/4	@GS	W  122-119	27	5-14	35.7	1-4	25	1-4	25	6	5	0	1	2	0	12
Mon 1/2	@POR	L  135-106	27	3-11	27.3	1-3	33.3	6-9	66.7	3	2	0	0	5	5	13
JANUARY			30.4	5.2-12.2	42.4	1.3-4.0	32.7	3.5-5.0	70.8	4.3	5.6	0.2	0.8	3.4	3.3	15.2
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	@MIN	W  116-104	20	0-4	0	0-1	0	1-2	50	1	4	0	0	2	6	1
Sat 12/30	@CHI	L  132-118	29	6-10	60	2-5	40	8-9	88.9	1	6	0	0	4	3	22
Thu 12/28	vsORL	W  121-101	28	1-7	14.3	0-1	0	6-7	85.7	6	4	1	1	4	3	8
