2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	@ORL	W  102-98	34	7-15	46.7	4-10	40	4-6	66.7	14	6	0	0	2	4	22
Sun 2/5	vsPHI	W  108-97	34	8-19	42.1	1-8	12.5	7-8	87.5	9	7	0	0	2	3	24
Sat 2/4	vsLAC	L  134-128 OT	41	10-18	55.6	2-6	33.3	6-8	75	11	7	0	1	5	5	28
Thu 2/2	vsMIA	W  106-104	34	8-19	42.1	3-9	33.3	4-5	80	10	6	0	3	4	7	23
FEBRUARY			35.8	8.3-17.8	46.5	2.5-8.3	30.3	5.3-6.8	77.8	11	6.5	0	1	3.3	4.8	24.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	vsLAL	L  129-123 OT	43	6-19	31.6	2-9	22.2	9-11	81.8	12	5	0	0	4	4	23
Sat 1/28	@BKN	L  122-115	38	7-16	43.8	1-6	16.7	4-6	66.7	10	8	0	1	2	3	19
Thu 1/26	@BOS	W  120-117 OT	37	13-25	52	5-13	38.5	6-7	85.7	9	2	0	0	5	2	37
Tue 1/24	vsCLE	W  105-103	38	11-21	52.4	8-12	66.7	6-7	85.7	13	4	0	0	3	5	36
Sun 1/22	@TOR	L  125-116	37	8-14	57.1	2-6	33.3	5-8	62.5	19	8	0	0	5	4	23
Fri 1/20	@ATL	L  139-124	33	11-22	50	3-10	30	7-9	77.8	9	6	0	0	1	3	32
Wed 1/18	vsWSH	L  116-105	34	6-17	35.3	0-5	0	2-5	40	15	4	0	1	5	2	14
Mon 1/16	vsTOR	L  123-121 OT	42	7-20	35	1-6	16.7	6-9	66.7	15	8	0	1	3	3	21
Sun 1/15	@DET	W  117-104	40	15-24	62.5	4-7	57.1	8-8	100	15	4	1	0	4	1	42
Fri 1/13	@WSH	W  112-108	36	8-19	42.1	2-6	33.3	5-8	62.5	16	1	1	0	2	3	23
Wed 1/11	vsIND	W  119-113	39	5-12	41.7	2-7	28.6	2-4	50	16	4	1	0	2	6	14
Mon 1/9	vsMIL	L  111-107	40	9-29	31	1-12	8.3	6-7	85.7	16	5	0	2	3	3	25
Fri 1/6	@TOR	W  112-108	40	10-22	45.5	6-11	54.5	6-9	66.7	11	3	0	0	3	3	32
Wed 1/4	vsSA	W  117-114	41	9-26	34.6	1-8	12.5	6-11	54.5	13	3	4	3	4	5	25
Mon 1/2	vsPHX	W  102-83	40	7-18	38.9	4-12	33.3	10-12	83.3	16	6	0	1	3	1	28
JANUARY			38.5	8.8-20.3	43.4	2.8-8.7	32.3	5.9-8.1	72.7	13.7	4.7	0.5	0.6	3.3	3.2	26.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	@HOU	W  108-88	39	9-20	45	5-13	38.5	12-16	75	12	6	1	0	3	1	35
Fri 12/29	@SA	L  122-115	43	14-27	51.9	6-13	46.2	7-11	63.6	11	7	0	1	3	4	41
Wed 12/27	@DAL	L  126-121 OT	45	11-23	47.8	5-11	45.5	2-4	50	18	4	0	0	5	2	29
Mon 12/25	vsPHI	L  119-112	40	12-24	50	4-9	44.4	7-7	100	8	4	1	2	1	1	35
Sat 12/23	vsCHI	L  118-117	38	11-22	50	5-10	50	2-5	40	12	3	2	1	2	1	29
Thu 12/21	vsTOR	L  113-106	40	13-17	76.5	0-3	0	4-9	44.4	13	4	0	0	5	2	30
Wed 12/20	vsGS	W  132-94	30	5-12	41.7	1-6	16.7	4-7	57.1	12	5	0	0	2	3	15
Mon 12/18	@IND	W  109-106	39	7-17	41.2	2-8	25	9-12	75	14	3	0	0	4	3	25
Sat 12/16	@CHI	W  114-91	36	6-16	37.5	2-8	25	5-7	71.4	12	4	1	3	1	2	19
Thu 12/14	@CHI	W  128-120 OT	46	8-19	42.1	3-7	42.9	12-15	80	13	7	0	0	2	6	31
Mon 12/11	vsSAC	W  112-99	27	9-20	45	3-11	27.3	6-6	100	8	3	0	0	3	2	27
Sat 12/9	@CHA	W  121-102	36	9-21	42.9	4-10	40	11-14	78.6	7	2	1	1	3	2	33
Thu 12/7	vsATL	W  113-89	33	10-19	52.6	6-12	50	8-8	100	17	5	0	1	3	0	34
Mon 12/4	vsCLE	W  92-81	35	7-19	36.8	1-7	14.3	3-3	100	9	4	0	0	0	1	18
Sun 12/3	vsDAL	L  121-100	30	8-15	53.3	3-8	37.5	5-5	100	5	3	0	0	2	3	24
