2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	@LAL	W  133-130	40	10-19	52.6	3-6	50	2-2	100	7	2	1	6	3	3	25
Mon 2/6	@GS	L  141-114	25	3-7	42.9	0-2	0	2-6	33.3	5	1	1	3	1	1	8
Sat 2/4	vsHOU	W  153-121	30	0-3	0	0-2	0	2-2	100	6	7	0	0	1	1	2
Wed 2/1	@HOU	L  112-106	29	2-9	22.2	2-4	50	2-2	100	6	3	2	2	2	3	8
FEBRUARY			31.3	3.8-9.5	39.5	1.3-3.5	35.7	2.0-3.0	66.7	6	3.3	1	2.8	1.8	2	10.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	vsGS	L  128-120	31	8-14	57.1	1-3	33.3	2-2	100	4	2	1	1	1	1	19
Fri 1/27	vsCLE	W  112-100	33	7-12	58.3	3-3	100	0-1	0	3	0	0	0	1	3	17
Wed 1/25	vsATL	L  137-132	38	11-16	68.8	1-1	100	1-2	50	5	2	0	4	5	1	24
Sun 1/22	@DEN	W  101-99	29	1-6	16.7	0-2	0	2-2	100	6	2	1	1	3	0	4
Fri 1/20	@SAC	L  118-113	32	5-9	55.6	1-3	33.3	2-2	100	1	2	0	1	5	3	13
Wed 1/18	vsIND	W  126-106	34	4-10	40	1-4	25	2-2	100	7	6	1	4	4	1	11
Sun 1/15	@BKN	W  112-102	35	0-9	0	0-4	0	1-2	50	6	3	1	1	2	1	1
Fri 1/13	@CHI	W  124-110	34	10-12	83.3	1-3	33.3	1-1	100	8	3	0	2	2	0	22
Thu 1/12	@PHI	W  133-114	27	6-11	54.5	2-3	66.7	0-0	0	5	4	1	1	2	2	14
Tue 1/10	@MIA	L  112-111	32	5-9	55.6	1-2	50	1-2	50	0	5	1	2	4	1	12
Sun 1/8	vsDAL	W  120-109	25	5-11	45.5	0-2	0	0-0	0	4	2	3	0	1	1	10
Fri 1/6	vsWSH	W  127-110	34	7-13	53.8	2-4	50	2-2	100	8	3	0	2	4	3	18
Wed 1/4	@ORL	L  126-115	28	2-8	25	0-2	0	0-0	0	3	4	1	5	2	1	4
Tue 1/3	vsBOS	W  150-117	33	10-18	55.6	0-4	0	1-3	33.3	3	6	0	4	3	0	21
JANUARY			31.7	5.8-11.3	51.3	0.9-2.9	32.5	1.1-1.5	71.4	4.5	3.1	0.7	2	2.8	1.3	13.6
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	vsPHI	L  115-96	28	6-10	60	3-4	75	2-2	100	3	1	1	2	2	4	17
Fri 12/29	@CHA	L  121-113	27	5-9	55.6	2-4	50	3-4	75	5	1	0	1	2	0	15
Wed 12/27	vsSA	W  130-114	31	7-12	58.3	0-1	0	1-1	100	9	3	2	1	2	0	15
Sat 12/23	vsNO	L  128-125 OT	30	4-12	33.3	0-3	0	3-4	75	7	3	0	0	4	3	11
Thu 12/21	vsPOR	W  101-98	30	5-8	62.5	1-3	33.3	4-4	100	4	1	0	0	2	3	15
Tue 12/19	vsPOR	W  123-121	33	5-12	41.7	1-2	50	2-3	66.7	7	4	1	1	2	1	13
Sun 12/17	vsMEM	W  115-109	30	0-8	0	0-2	0	1-2	50	2	6	0	1	1	2	1
Sat 12/16	vsMIN	L  112-110	33	5-8	62.5	0-3	0	3-5	60	4	3	0	0	2	4	13
Thu 12/14	vsMIA	L  110-108	31	6-10	60	2-4	50	0-0	0	5	2	2	0	2	1	14
Tue 12/12	@DAL	L  121-114	38	8-13	61.5	1-4	25	0-0	0	2	4	1	0	2	2	17
Sun 12/10	@CLE	L  110-102	29	4-6	66.7	0-2	0	3-6	50	0	3	0	2	3	1	11
Thu 12/7	@MEM	L  123-102	26	3-11	27.3	1-4	25	0-0	0	3	3	0	1	4	1	7
Tue 12/5	@ATL	W  121-114	31	6-10	60	0-1	0	0-0	0	7	1	1	0	2	0	12
Sun 12/3	@MIN	W  135-128	27	4-6	66.7	1-1	100	2-4	50	1	3	0	0	3	2	11
DECEMBER			30.3	4.9-9.6	50.4	0.9-2.7	31.6	1.7-2.5	68.6	4.2	2.7	0.6	0.6	2.4	1.7	12.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	vsSA	W  119-111	33	11-15	73.3	2-3	66.7	3-5	60	6	2	0	0	3	3	27
Tue 11/28	@NO	L  105-101	25	3-6	50	0-2	0	2-2	100	6	1	1	0	2	2	8
Sun 11/26	@HOU	L  118-105	29	4-12	33.3	0-2	0	3-3	100	5	4	0	0	1	3	11
Sat 11/25	vsCHI	W  123-119 OT	20	3-4	75	0-1	0	2-3	66.7	2	1	0	0	3	0	8
Thu 11/23	vsDEN	L  131-126 OT	30	4-9	44.4	2-3	66.7	6-6	100	0	1	1	0	6	2	16
Tue 11/21	vsNY	L  129-119	26	5-11	45.5	0-3	0	3-4	75	4	0	0	1	1	2	13
Sat 11/18	@MEM	L  121-110	34	6-12	50	2-5	40	2-2	100	6	7	0	2	4	1	16
Thu 11/16	@WSH	W  121-120	28	4-11	36.4	2-4	50	0-0	0	4	6	0	0	2	3	10
Tue 11/14	@BOS	L  126-122	36	6-9	66.7	2-5	40	0-1	0	6	2	1	0	3	1	14
Mon 11/13	@NY	W  145-135	20	4-6	66.7	0-1	0	0-0	0	0	0	0	0	3	2	8
Sat 11/11	vsTOR	W  132-113	30	5-10	50	0-5	0	0-0	0	3	11	0	1	5	2	10
Thu 11/9	vsMIL	L  136-132 2OT	23	3-6	50	1-2	50	2-2	100	5	2	1	1	2	0	9
Tue 11/7	@DET	L  112-103	31	3-6	50	0-0	0	0-0	0	2	2	1	1	4	1	6
Sun 11/5	@MIL	L  108-94	20	2-6	33.3	1-3	33.3	0-0	0	5	1	0	0	2	0	5
Fri 11/3	vsDEN	L  122-110	14	4-7	57.1	0-1	0	0-0	0	0	2	0	0	0	0	8
Wed 11/1	vsORL	W  116-108	22	3-7	42.9	0-1	0	0-0	0	1	0	0	2	1	2	6
NOVEMBER			26.3	4.4-8.6	51.1	0.8-2.6	29.3	1.4-1.8	82.1	3.4	2.6	0.3	0.5	2.6	1.5	10.9
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 10/29	@DAL	W  117-111 OT	27	5-8	62.5	0-2	0	3-3	100	3	3	1	4	3	3	13
Thu 10/19	@MIN	L  115-108	6	2-2	100	1-1	100	0-0	0	0	1	0	0	3	2	5
OCTOBER			16.5	3.5-5.0	70	0.5-1.5	33.3	1.5-1.5	100	1.5	2	0.5	2	3	2.5	9
