2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	@CLE	L  113-85	29	4-9	44.4	1-4	25	0-0	0	2	6	0	2	4	2	9
Mon 2/6	vsBOS	L  111-99	32	7-16	43.8	3-7	42.9	0-0	0	2	9	1	2	3	1	17
Sat 2/4	vsPHX	L  116-100	18	1-6	16.7	1-3	33.3	1-2	50	1	3	0	1	3	2	4
Fri 2/3	vsCHA	W  118-112	24	2-6	33.3	0-1	0	0-0	0	1	5	0	1	3	3	4
FEBRUARY			26	3.5-9.3	37.8	1.3-3.8	33.3	0.3-0.5	50	1.5	5.8	0.3	1.5	3.3	2	8.5
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	@DAL	L  111-105	29	3-16	18.8	2-10	20	0-0	0	3	7	0	2	6	1	8
Sat 1/28	vsHOU	L  117-114	21	3-8	37.5	1-3	33.3	1-2	50	0	7	0	1	4	3	8
Thu 1/26	@BKN	W  130-122	25	6-12	50	2-5	40	2-3	66.7	5	3	0	3	3	3	16
Thu 1/19	vsCHI	L  126-108	31	2-13	15.4	0-6	0	0-0	0	1	8	0	2	4	4	4
NBA PARIS GAME 2023																
Sun 1/15	vsNY	L  117-104	35	4-14	28.6	1-5	20	0-0	0	2	9	0	2	3	1	9
Fri 1/13	vsNO	L  116-110	30	7-10	70	3-3	100	0-0	0	2	6	0	2	0	4	17
Wed 1/11	vsMIN	W  135-118	34	7-14	50	1-6	16.7	3-3	100	3	9	1	1	1	3	18
Tue 1/10	@PHI	L  147-116	25	2-11	18.2	1-3	33.3	0-1	0	1	6	0	2	2	1	5
Sun 1/8	vsPHI	L  123-111	34	11-17	64.7	4-8	50	0-0	0	4	6	1	3	2	5	26
Fri 1/6	@SA	L  121-109	36	8-14	57.1	2-5	40	0-0	0	3	7	0	5	4	5	18
Wed 1/4	@GS	W  122-119	35	3-12	25	1-4	25	2-2	100	2	13	0	1	2	0	9
JANUARY			30.4	5.1-12.8	39.7	1.6-5.3	31	0.7-1.0	72.7	2.4	7.4	0.2	2.2	2.8	2.7	12.5
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 12/28	vsORL	W  121-101	16	1-4	25	1-4	25	2-2	100	2	3	0	0	0	2	5
Tue 12/26	vsLAC	L  142-131 OT	39	6-17	35.3	4-7	57.1	2-3	66.7	5	10	0	1	2	4	18
Sat 12/23	@ATL	L  130-105	31	7-10	70	1-3	33.3	2-2	100	5	5	0	2	3	1	17
Thu 12/21	@PHI	L  113-93	34	6-15	40	0-2	0	0-0	0	2	4	1	1	1	2	12
Wed 12/20	vsUTAH	L  126-111	26	2-8	25	0-2	0	0-0	0	4	5	0	1	3	2	4
Mon 12/18	vsBKN	L  124-121	31	4-13	30.8	0-5	0	2-2	100	5	8	0	2	5	0	10
Sat 12/16	vsSAC	L  122-113	29	4-10	40	1-5	20	2-2	100	1	4	0	0	5	2	11
Thu 12/14	@CHA	W  141-134 OT	34	9-19	47.4	5-11	45.5	2-5	40	7	8	0	0	4	2	25
Mon 12/11	vsLAL	L  124-117	25	2-6	33.3	1-2	50	0-0	0	3	9	0	1	2	2	5
Sat 12/9	@MEM	L  114-103	19	2-8	25	0-3	0	1-1	100	1	5	0	2	5	3	5
Thu 12/7	@NO	L  104-98	32	8-17	47.1	1-5	20	0-0	0	6	12	0	2	3	2	17
Wed 12/6	@MIA	W  116-96	23	2-8	25	2-4	50	0-0	0	1	6	1	0	2	0	6
Mon 12/4	vsMEM	L  122-112	29	5-13	38.5	3-5	60	0-0	0	2	6	2	1	5	3	13
Fri 12/1	vsDAL	W  131-125 OT	33	10-13	76.9	2-4	50	0-0	0	4	8	0	0	5	2	22
DECEMBER			28.6	4.9-11.5	42.2	1.5-4.4	33.9	0.9-1.2	76.5	3.4	6.6	0.3	0.9	3.2	1.9	12.1
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 11/29	vsNY	L  140-110	26	5-11	45.5	1-4	25	0-0	0	1	6	0	3	1	0	11
Mon 11/27	vsCLE	L  102-94	33	7-13	53.8	2-5	40	0-0	0	3	8	1	2	5	3	16
Sat 11/25	@PHX	L  108-102	38	7-18	38.9	1-4	25	2-2	100	8	9	0	3	5	3	17
Thu 11/23	@UTAH	W  125-116	17	1-5	20	0-0	0	0-0	0	3	3	0	0	2	1	2
Wed 11/22	@DEN	W  110-108	28	3-9	33.3	1-5	20	2-2	100	1	9	0	0	4	4	9
Mon 11/20	@SAC	L  137-129	29	3-9	33.3	2-3	66.7	1-1	100	1	6	1	0	3	1	9
Sat 11/18	@LAL	L  128-121	35	7-14	50	4-6	66.7	0-0	0	2	9	1	1	6	0	18
Fri 11/17	@LAC	L  96-91	28	1-8	12.5	0-2	0	3-4	75	3	1	2	3	5	1	5
Tue 11/14	vsTOR	L  115-111	24	3-6	50	0-1	0	0-0	0	3	2	1	3	1	1	6
Sun 11/12	vsBOS	L  117-108	35	6-14	42.9	3-6	50	0-0	0	6	7	0	0	2	3	15
Sat 11/11	@NY	L  121-112	34	4-12	33.3	1-6	16.7	2-2	100	6	7	0	3	3	4	11
Thu 11/9	@BOS	L  128-112	22	7-12	58.3	1-2	50	1-1	100	2	1	0	1	3	0	16
Tue 11/7	vsOKC	W  112-103	17	2-5	40	0-0	0	1-2	50	0	4	0	0	0	2	5
Sat 11/4	vsCLE	L  112-88	18	1-3	33.3	0-1	0	0-0	0	1	2	0	1	3	2	2
Thu 11/2	@MIL	L  116-91	22	1-5	20	1-2	50	2-2	100	0	1	1	1	2	3	5
NOVEMBER			27.1	3.9-9.6	40.3	1.1-3.1	36.2	0.9-1.1	87.5	2.7	5	0.5	1.4	3	1.9	9.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 10/31	@MIL	L  110-108	17	0-4	0	0-1	0	0-0	0	4	3	0	0	2	1	0
Mon 10/30	vsGS	W  128-114	18	2-7	28.6	0-1	0	0-0	0	2	5	0	1	4	2	4
Sat 10/28	vsATL	L  136-112	19	1-6	16.7	0-1	0	0-0	0	5	4	0	0	2	2	2
Thu 10/26	vsATL	L  118-113	16	2-6	33.3	1-2	50	0-0	0	1	4	1	1	4	0	5
Wed 10/25	@WSH	L  120-99	17	0-6	0	0-1	0	0-0	0	2	0	0	0	1	4	0
Sun 10/22	@IND	L  124-115	17	2-4	50	1-3	33.3	0-0	0	0	2	1	0	2	0	5
Sat 10/21	@NY	L  130-106	18	0-5	0	0-3	0	1-2	50	1	5	0	0	4	1	1
Thu 10/19	vsORL	W  113-109	16	1-9	11.1	0-3	0	1-1	100	5	5	1	3	1	0	3
OCTOBER			17.1	1.0-5.9	17	0.3-1.9	13.3	0.3-0.4	66.7	2.5	3.5	0.4	0.6	2.5	1.3	2.5
