2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	vsMIN	L  143-118	23	8-16	50	3-7	42.9	2-2	100	5	3	0	0	2	2	21
Mon 2/6	vsDAL	L  124-111	36	9-17	52.9	1-7	14.3	0-0	0	7	0	1	2	6	2	19
Fri 2/3	vsATL	L  115-108	37	8-19	42.1	3-11	27.3	6-7	85.7	10	1	0	0	1	0	25
Wed 2/1	vsTOR	W  131-128	36	7-13	53.8	4-9	44.4	10-10	100	13	1	1	1	3	4	28
FEBRUARY			33	8.0-16.3	49.2	2.8-8.5	32.4	4.5-4.8	94.7	8.8	1.3	0.5	0.8	3	2	23.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 1/28	vsDAL	W  108-100	36	11-20	55	4-8	50	3-4	75	5	0	1	1	2	1	29
Wed 1/25	@POR	L  134-124	34	7-16	43.8	3-6	50	7-8	87.5	4	1	0	0	0	0	24
Mon 1/23	vsCHA	W  120-102	32	8-14	57.1	4-8	50	5-6	83.3	11	2	1	1	3	2	25
Fri 1/20	vsBKN	L  117-106	37	8-16	50	6-10	60	0-0	0	11	1	0	1	0	2	22
Wed 1/18	vsLAC	W  126-103	33	11-20	55	6-8	75	6-6	100	12	1	2	1	3	0	34
Fri 1/13	vsORL	W  112-108	36	4-13	30.8	3-6	50	17-21	81	12	2	1	1	2	5	28
Tue 1/10	vsCLE	W  116-114	39	6-18	33.3	1-5	20	12-14	85.7	16	1	0	1	2	1	25
Sun 1/8	@MEM	L  123-118	29	8-18	44.4	1-4	25	4-4	100	8	1	2	0	1	1	21
Sat 1/7	@CHI	L  126-118	36	12-20	60	2-7	28.6	2-3	66.7	4	3	0	3	3	2	28
Thu 1/5	@HOU	W  131-114	36	15-27	55.6	6-15	40	13-13	100	8	1	1	0	0	0	49
Tue 1/3	vsSAC	L  117-115	36	6-15	40	1-7	14.3	15-15	100	8	1	0	0	2	2	28
