2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	vsOKC	L  133-130	34	13-20	65	4-6	66.7	8-10	80	7	3	0	3	3	4	38
Sat 2/4	@NO	L  131-126	40	10-22	45.5	1-7	14.3	6-9	66.7	9	6	0	0	2	2	27
Thu 2/2	@IND	W  112-111	33	11-19	57.9	2-5	40	2-2	100	7	7	0	0	1	3	26
FEBRUARY			35.7	11.3-20.3	55.7	2.3-6.0	38.9	5.3-7.0	76.2	7.7	5.3	0	1	2	3	30.3
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	@NY	W  129-123 OT	43	11-25	44	2-8	25	4-7	57.1	10	11	0	1	2	5	28
Sat 1/28	@BOS	L  125-121 OT	44	15-30	50	6-12	50	5-6	83.3	9	8	0	0	2	2	41
Wed 1/25	vsSA	W  113-104	35	8-20	40	1-6	16.7	3-4	75	9	11	0	0	0	6	20
Tue 1/24	vsLAC	L  133-115	33	16-29	55.2	9-14	64.3	5-5	100	8	7	1	2	0	0	46
Sun 1/22	@POR	W  121-112	36	14-24	58.3	2-7	28.6	7-10	70	11	4	2	0	2	4	37
Fri 1/20	vsMEM	W  122-121	37	8-21	38.1	1-5	20	6-7	85.7	9	6	2	2	4	3	23
Wed 1/18	vsSAC	L  116-111	37	11-25	44	2-9	22.2	8-9	88.9	8	9	1	1	0	1	32
Mon 1/16	vsHOU	W  140-132	36	16-26	61.5	5-10	50	11-12	91.7	8	9	0	0	1	0	48
Sun 1/15	vsPHI	L  113-112	35	15-23	65.2	1-5	20	4-5	80	8	10	1	1	1	3	35
Thu 1/12	vsDAL	L  119-115 2OT	47	9-28	32.1	0-7	0	6-10	60	16	9	0	2	0	3	24
Sat 1/7	@SAC	W  136-134	38	14-28	50	1-6	16.7	8-9	88.9	8	7	0	1	2	4	37
Fri 1/6	vsATL	W  130-114	33	10-19	52.6	1-5	20	4-6	66.7	7	10	0	0	0	5	25
Mon 1/2	@CHA	W  121-115	40	16-26	61.5	0-5	0	11-15	73.3	11	6	0	1	1	3	43
JANUARY			37.8	12.5-24.9	50.3	2.4-7.6	31.3	6.3-8.1	78.1	9.4	8.2	0.5	0.8	1.2	3	33.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/30	@ATL	W  130-121	40	18-27	66.7	4-6	66.7	7-9	77.8	10	9	1	0	0	5	47
Thu 12/28	@MIA	L  112-98	33	10-18	55.6	2-5	40	5-5	100	9	6	0	0	4	6	27
Wed 12/27	@ORL	W  129-110	31	12-24	50	0-7	0	4-5	80	7	5	1	1	1	4	28
Mon 12/25	@DAL	L  124-115	34	13-23	56.5	0-4	0	12-12	100	6	5	0	0	2	2	38
Sat 12/23	vsCHA	L  134-130	34	15-23	65.2	4-8	50	0-2	0	2	8	0	1	2	3	34
Thu 12/21	@SAC	L  134-120	34	11-21	52.4	0-4	0	9-10	90	6	11	2	0	0	2	31
Mon 12/18	vsWSH	W  119-117	37	13-24	54.2	1-4	25	6-8	75	7	9	1	0	0	0	33
Sat 12/16	vsDEN	W  126-108	36	13-21	61.9	1-4	25	3-4	75	9	4	0	2	2	2	30
Wed 12/13	vsBOS	L  122-118 OT	43	14-25	56	3-11	27.3	2-4	50	9	9	1	2	4	4	33
Mon 12/11	@DET	W  124-117	37	14-24	58.3	2-6	33.3	5-5	100	5	5	0	1	1	1	35
Sat 12/9	@PHI	L  133-122 OT	44	9-22	40.9	1-8	12.5	4-8	50	4	6	0	2	3	3	23
Wed 12/6	@CLE	L  116-102	36	8-17	47.1	2-6	33.3	3-4	75	17	4	1	1	0	3	21
Mon 12/4	@WSH	W  130-119	34	12-26	46.2	2-7	28.6	3-4	75	8	6	0	1	3	5	29
Sat 12/2	@MIL	W  133-129	37	12-27	44.4	3-6	50	1-2	50	8	11	0	2	2	0	28
DECEMBER			36.4	12.4-23.0	54	1.8-6.1	29.1	4.6-5.9	78	7.6	7	0.5	0.9	1.7	2.9	31.2
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	vsPOR	W  128-109	33	12-18	66.7	6-8	75	1-3	33.3	7	8	1	0	1	2	31
Tue 11/28	vsIND	L  116-115	36	8-22	36.4	3-10	30	2-3	66.7	7	3	0	1	1	1	21
Sun 11/26	@SA	W  143-138	35	11-21	52.4	7-12	58.3	10-10	100	11	3	1	1	3	4	39
Sat 11/25	@SA	W  105-94	33	8-17	47.1	1-4	25	4-4	100	8	5	1	3	2	9	21
Thu 11/9	@LAC	L  114-101	32	12-22	54.5	4-9	44.4	2-4	50	8	5	0	2	2	3	30
Mon 11/6	vsCLE	L  114-100	34	13-23	56.5	1-4	25	0-3	0	7	4	0	0	0	1	27
Sat 11/4	vsUTAH	L  130-116	34	7-19	36.8	0-5	0	3-5	60	10	8	1	0	3	3	17
Thu 11/2	vsNO	W  120-117 OT	40	9-23	39.1	0-7	0	2-4	50	10	8	2	0	3	2	20
NOVEMBER			34.6	10.0-20.6	48.5	2.8-7.4	37.3	3.0-4.5	66.7	8.5	5.5	0.8	0.9	1.9	3.1	25.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 10/30	vsDEN	W  121-110	35	10-22	45.5	2-5	40	4-5	80	6	8	0	1	1	3	26
Sat 10/28	@MIN	L  111-102	37	10-24	41.7	1-6	16.7	7-8	87.5	7	5	0	4	2	3	28
Thu 10/26	@DEN	L  110-99	35	8-21	38.1	2-8	25	1-2	50	7	9	0	1	1	8	19
Mon 10/23	vsPOR	L  106-104	38	12-22	54.5	2-9	22.2	5-7	71.4	8	8	2	2	3	4	31
Fri 10/20	vsLAC	L  103-97	37	7-17	41.2	2-8	25	4-6	66.7	10	6	2	1	3	2	20
Wed 10/18	@GS	L  123-109	35	12-26	46.2	3-10	30	4-4	100	15	8	0	0	2	5	31
OCTOBER			36.2	9.8-22.0	44.7	2.0-7.7	26.1	4.2-5.3	78.1	8.8	7.3	0.7	1.5	2	4.2	25.8
