2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	vsNY	L  102-98	32	9-12	75	0-2	0	3-3	100	4	6	0	1	4	3	21
Sun 2/5	@CHA	W  119-113	36	8-13	61.5	0-1	0	0-0	0	1	5	0	3	4	3	16
Fri 2/3	@MIN	W  127-120	30	6-10	60	0-1	0	3-4	75	4	3	0	2	0	1	15
Wed 2/1	@PHI	L  105-94	33	7-11	63.6	0-1	0	4-4	100	3	2	0	0	2	3	18
FEBRUARY			32.8	7.5-11.5	65.2	0.0-1.3	0	2.5-2.8	90.9	3	4	0	1.5	2.5	2.5	17.5
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	@PHI	W  119-109	32	4-14	28.6	0-0	0	4-5	80	2	10	0	4	1	0	12
Sat 1/28	vsCHI	L  128-109	22	3-7	42.9	0-0	0	1-2	50	1	3	0	0	3	2	7
Fri 1/27	@MIA	L  110-105	31	5-9	55.6	0-2	0	0-0	0	3	6	2	0	2	4	10
Wed 1/25	vsIND	W  126-120	31	5-8	62.5	0-1	0	3-4	75	1	8	1	1	3	3	13
Mon 1/23	vsBOS	W  113-98	32	3-9	33.3	0-0	0	2-2	100	4	5	1	0	0	2	8
Sat 1/21	@WSH	L  138-118	29	8-14	57.1	3-4	75	4-4	100	5	8	0	1	3	1	23
Fri 1/20	vsNO	W  123-110	24	3-8	37.5	0-0	0	3-4	75	2	3	1	0	0	2	9
Sun 1/15	@DEN	L  119-116	27	8-10	80	1-1	100	3-6	50	7	6	0	2	2	5	20
Fri 1/13	@UTAH	L  112-108	29	4-9	44.4	0-2	0	0-0	0	1	6	0	2	3	4	8
Tue 1/10	@POR	W  109-106	37	7-8	87.5	0-0	0	4-4	100	3	7	0	1	1	3	18
Mon 1/9	@SAC	L  136-111	28	8-10	80	0-0	0	0-0	0	2	5	1	0	1	2	16
Sat 1/7	@GS	W  115-101	31	8-16	50	0-2	0	0-1	0	5	7	0	6	0	2	16
Thu 1/5	vsMEM	L  123-115	31	4-10	40	0-1	0	0-0	0	5	9	0	2	1	1	8
Wed 1/4	vsOKC	W  126-115	25	5-8	62.5	0-0	0	3-4	75	6	4	1	1	3	4	13
JANUARY			29.3	5.4-10.0	53.6	0.3-0.9	30.8	1.9-2.6	75	3.4	6.2	0.5	1.4	1.6	2.5	12.9
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/30	vsWSH	L  119-100	26	5-12	41.7	1-5	20	1-2	50	7	6	0	3	0	0	12
Thu 12/28	@DET	L  121-101	28	2-12	16.7	0-0	0	2-2	100	7	9	0	1	3	1	6
Wed 12/27	vsLAL	L  129-110	28	7-13	53.8	1-4	25	1-2	50	3	3	2	2	1	2	16
Sat 12/23	vsSA	W  133-113	24	3-5	60	0-0	0	2-4	50	7	8	0	4	1	2	8
Thu 12/21	@HOU	W  116-110	29	4-10	40	0-1	0	3-7	42.9	1	3	0	0	3	1	11
Tue 12/19	@ATL	L  126-125	33	11-19	57.9	2-3	66.7	0-0	0	6	9	0	1	1	2	24
Mon 12/18	@BOS	W  95-92	30	3-10	30	0-0	0	2-2	100	5	5	0	3	0	2	8
Sat 12/16	@BOS	W  117-109	28	5-10	50	0-1	0	2-2	100	4	4	1	2	6	5	12
Thu 12/14	vsATL	W  135-124	32	8-14	57.1	0-0	0	0-0	0	7	9	1	4	3	1	16
Mon 12/11	vsTOR	W  111-99	23	2-5	40	0-2	0	3-4	75	1	4	0	0	5	5	7
Sat 12/9	vsTOR	W  113-109	25	6-9	66.7	3-3	100	0-0	0	3	5	0	0	3	3	15
Thu 12/7	vsLAC	W  116-111 OT	28	0-4	0	0-0	0	1-2	50	2	4	0	0	4	3	1
Tue 12/5	vsMIL	L  109-102	32	8-18	44.4	2-4	50	2-2	100	5	2	0	2	2	2	20
Sun 12/3	@TOR	L  121-108	19	3-8	37.5	0-0	0	1-2	50	1	4	0	1	2	1	7
Sat 12/2	@CLE	L  107-96	30	5-9	55.6	0-1	0	0-0	0	6	6	0	0	0	4	10
DECEMBER			27.6	4.8-10.5	45.6	0.6-1.6	37.5	1.3-2.1	64.5	4.3	5.4	0.3	1.5	2.3	2.3	11.5
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	vsATL	L  125-108	17	3-8	37.5	0-1	0	2-2	100	1	4	1	2	2	1	8
NOVEMBER			17	3.0-8.0	37.5	0.0-1.0	0	2.0-2.0	100	1	4	1	2	2	1	8
