2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	vsMIN	W  146-112	29	11-15	73.3	4-6	66.7	4-4	100	5	1	0	1	1	1	30
Sun 2/5	@MIN	L  128-98	32	7-16	43.8	2-10	20	6-8	75	3	1	1	1	2	2	22
Sat 2/4	vsATL	W  128-108	30	9-16	56.3	3-8	37.5	2-2	100	2	1	1	3	1	0	23
Thu 2/2	vsGS	W  134-117	27	6-12	50	5-9	55.6	0-0	0	1	1	0	1	3	1	17
FEBRUARY			29.5	8.3-14.8	55.9	3.5-8.3	42.4	3.0-3.5	85.7	2.8	1	0.5	1.5	1.8	1	23
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	vsNO	W  122-113	30	5-12	41.7	3-6	50	0-0	0	5	1	0	1	4	2	13
Sat 1/28	@PHI	L  126-119	29	7-11	63.6	5-9	55.6	1-1	100	6	0	0	0	2	0	20
Fri 1/20	vsIND	W  134-111	31	8-14	57.1	3-8	37.5	0-0	0	8	0	0	1	1	0	19
Wed 1/18	vsMIN	W  122-118	22	1-6	16.7	0-3	0	2-2	100	6	0	1	1	1	2	4
Tue 1/17	vsPOR	W  122-113	31	9-13	69.2	4-6	66.7	1-1	100	4	0	0	0	2	0	23
Sun 1/15	vsORL	W  119-116	28	6-13	46.2	4-8	50	0-0	0	4	0	1	1	3	1	16
Fri 1/13	@LAC	W  115-103	32	9-17	52.9	2-8	25	2-2	100	4	3	1	1	1	1	22
Wed 1/11	vsPHX	W  126-97	23	4-9	44.4	2-7	28.6	1-2	50	3	1	0	0	4	0	11
Mon 1/9	vsLAL	W  122-109	26	5-13	38.5	2-6	33.3	0-0	0	7	0	1	1	2	0	12
Fri 1/6	vsCLE	W  121-108	33	5-13	38.5	3-8	37.5	3-4	75	8	1	0	0	2	1	16
Thu 1/5	vsLAC	W  122-91	22	4-10	40	1-5	20	1-2	50	5	0	0	0	1	1	10
Mon 1/2	@MIN	L  124-111	27	6-9	66.7	4-6	66.7	2-2	100	2	0	1	0	2	2	18
Sun 1/1	vsBOS	W  123-111	33	7-13	53.8	3-7	42.9	2-2	100	4	2	1	0	1	3	19
JANUARY			28.2	5.8-11.8	49.7	2.8-6.7	41.4	1.2-1.4	83.3	5.1	0.6	0.5	0.5	2	1	15.6
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/30	vsMIA	W  124-119	25	4-11	36.4	0-3	0	2-4	50	6	3	0	1	1	0	10
Thu 12/28	@SAC	L  127-126	35	6-12	50	4-8	50	3-3	100	7	1	3	0	2	4	19
Wed 12/27	@SAC	W  113-106	30	12-20	60	5-9	55.6	1-2	50	6	2	0	2	3	2	30
Mon 12/25	vsPHX	W  128-125 OT	35	3-11	27.3	0-5	0	1-2	50	8	0	1	1	4	0	7
Sat 12/23	vsPOR	W  120-107	27	7-13	53.8	2-6	33.3	2-3	66.7	5	2	0	1	2	1	18
DECEMBER			30.4	6.4-13.4	47.8	2.2-6.2	35.5	1.8-2.8	64.3	6.4	1.6	0.8	1	2.4	1.4	16.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 11/22	vsDET	L  110-108	33	7-15	46.7	1-5	20	3-3	100	8	1	2	0	1	1	18
Mon 11/20	@DAL	W  98-97	31	6-11	54.5	1-5	20	1-4	25	5	0	1	2	2	2	14
Sat 11/18	@DAL	L  127-99	24	4-15	26.7	1-5	20	1-1	100	3	2	0	0	2	1	10
Thu 11/16	vsNY	L  106-103	28	1-8	12.5	1-6	16.7	2-2	100	3	2	0	0	2	2	5
Mon 11/13	@CHI	W  126-103	24	11-16	68.8	6-9	66.7	3-3	100	1	2	0	2	3	0	31
Sat 11/11	@BOS	L  131-112	25	3-10	30	1-6	16.7	0-0	0	4	0	0	0	2	0	7
Thu 11/9	@IND	W  122-119	36	7-14	50	3-7	42.9	0-0	0	6	2	1	0	0	1	17
Tue 11/7	@SA	W  115-109	30	9-16	56.3	4-8	50	2-2	100	6	2	0	1	2	0	24
Sun 11/5	vsSA	W  126-101	30	6-10	60	3-6	50	0-0	0	9	0	0	1	3	2	15
Fri 11/3	@OKC	W  122-110	29	4-10	40	3-6	50	0-0	0	6	2	0	0	1	1	11
NOVEMBER			29.1	5.8-12.5	46.4	2.4-6.3	38.1	1.2-1.5	80	5.1	1.3	0.4	0.6	1.8	1	15.2
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 10/30	@LAL	L  121-110	28	5-15	33.3	3-10	30	4-5	80	9	1	0	1	4	0	17
Sat 10/28	vsUTAH	W  117-101	30	7-15	46.7	4-5	80	4-5	80	13	1	0	0	2	0	22
Tue 10/24	@POR	L  135-110	26	7-14	50	4-8	50	0-0	0	4	2	0	0	5	1	18
Sun 10/22	vsOKC	W  122-117	28	8-15	53.3	5-10	50	1-1	100	6	1	1	1	4	3	22
Sat 10/21	@GS	W  128-123	28	6-12	50	5-10	50	0-0	0	6	1	1	1	5	0	17
Thu 10/19	@UTAH	L  123-102	35	5-10	50	2-4	50	3-4	75	7	1	0	1	4	4	15
OCTOBER			29	6.3-13.5	46.9	3.8-7.8	48.9	2.0-2.5	80	7.5	1.2	0.3	0.7	4	1.3	18.5
