2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	@MIA	L  116-111	30	4-9	44.4	3-5	60	10-11	90.9	10	0	2	0	6	0	21
Sun 2/5	vsCLE	L  122-103	24	9-18	50	2-6	33.3	7-7	100	10	0	3	1	4	2	27
Fri 2/3	vsSAC	W  107-104	33	5-13	38.5	1-4	25	3-4	75	13	1	4	2	4	4	14
Thu 2/2	vsLAL	L  112-111	31	8-11	72.7	2-4	50	2-2	100	13	3	2	1	5	1	20
FEBRUARY			29.8	6.5-12.8	51	2.0-4.8	42.1	5.5-6.0	91.7	11.5	1	2.8	1	4.8	1.8	20.5
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 1/29	@MEM	L  112-100	27	5-9	55.6	2-4	50	3-4	75	4	1	1	0	5	2	15
Fri 1/27	vsMIL	L  141-131	36	10-20	50	2-7	28.6	2-4	50	5	0	4	0	4	0	24
Wed 1/25	@ORL	L  126-120	33	7-16	43.8	3-6	50	5-6	83.3	13	1	1	1	1	1	22
Tue 1/24	vsCHI	W  116-110	32	11-21	52.4	2-7	28.6	2-4	50	7	0	1	0	3	0	26
Sat 1/21	@PHX	L  112-107	36	5-14	35.7	3-5	60	3-6	50	12	3	4	0	4	1	16
Fri 1/20	@DEN	L  134-111	23	6-11	54.5	0-2	0	3-5	60	7	0	2	1	1	2	15
Wed 1/18	@OKC	L  126-106	20	3-4	75	1-1	100	0-0	0	3	0	6	1	2	4	7
Mon 1/16	@MIL	L  132-119	36	11-17	64.7	5-9	55.6	3-3	100	8	2	4	0	2	1	30
Sun 1/8	vsCHA	W  116-111	34	10-16	62.5	1-3	33.3	8-10	80	9	0	4	1	3	2	29
Fri 1/6	vsPOR	W  108-99	28	6-16	37.5	0-6	0	5-6	83.3	7	2	2	0	3	0	17
Wed 1/4	@PHI	L  129-126 OT	38	6-8	75	0-1	0	2-2	100	8	1	5	1	2	5	14
Mon 1/2	vsTOR	W  122-114	31	9-14	64.3	0-2	0	0-0	0	10	1	2	0	3	0	18
JANUARY			31.3	7.4-13.8	53.6	1.6-4.4	35.8	3.0-4.2	72	7.8	0.9	3	0.4	2.8	1.5	19.4
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	vsLAC	W  131-130	34	11-17	64.7	2-5	40	10-10	100	3	3	1	2	3	2	34
Fri 12/29	vsCLE	W  135-126	35	6-11	54.5	2-4	50	0-0	0	12	3	6	0	2	0	14
Wed 12/27	vsATL	W  129-114	25	6-11	54.5	0-2	0	6-8	75	6	1	1	0	2	1	18
Tue 12/26	@NO	L  113-93	25	5-8	62.5	2-5	40	2-4	50	8	0	2	1	2	1	14
Sat 12/23	@MIA	W  111-108	25	2-4	50	0-1	0	1-1	100	11	2	2	1	5	4	5
Thu 12/21	@BOS	W  117-112	27	4-8	50	1-2	50	1-1	100	6	3	0	1	4	2	10
Mon 12/18	vsNY	L  109-106	33	2-10	20	2-8	25	0-4	0	8	1	1	1	3	0	6
