2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 2/8	vsDAL	L  110-104	28	8-17	47.1	2-6	33.3	6-6	100	7	1	0	3	3	3	24
Mon 2/6	@BKN	W  124-116	30	5-10	50	1-4	25	3-3	100	3	4	0	1	1	2	14
Sat 2/4	@NY	W  134-128 OT	35	8-17	47.1	2-6	33.3	6-9	66.7	7	3	0	1	3	2	24
Thu 2/2	@MIL	L  106-105	31	9-16	56.3	4-8	50	4-5	80	2	0	0	0	2	0	26
FEBRUARY			31	7.5-15.0	50	2.3-6.0	37.5	4.8-5.8	82.6	4.8	2	0	1.3	2.3	1.8	22
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 1/31	@CHI	W  108-103	33	7-11	63.6	3-7	42.9	10-10	100	4	4	0	2	3	0	27
Sun 1/29	@CLE	L  122-99	16	4-10	40	0-2	0	3-4	75	2	0	0	1	3	1	11
Sat 1/28	@ATL	W  120-113	24	4-11	36.4	2-6	33.3	0-1	0	4	2	0	0	1	4	10
Thu 1/26	vsSA	W  138-100	21	4-11	36.4	3-7	42.9	4-4	100	2	0	0	0	1	1	15
Tue 1/24	@LAL	W  133-115	25	8-12	66.7	4-5	80	2-2	100	4	4	0	0	3	2	22
Sun 1/22	@DAL	W  112-98	30	6-12	50	2-5	40	5-5	100	4	1	0	0	1	1	19
Fri 1/20	@SA	W  131-126	27	9-11	81.8	4-5	80	4-4	100	3	1	1	1	2	2	26
Wed 1/18	@UTAH	L  126-103	30	9-15	60	7-9	77.8	5-8	62.5	4	3	0	0	3	0	30
Tue 1/17	vsPHI	L  120-110	25	4-11	36.4	3-7	42.9	5-6	83.3	0	0	0	1	1	3	16
Sun 1/15	vsHOU	W  121-100	27	5-11	45.5	2-5	40	6-7	85.7	4	3	0	1	2	2	18
Fri 1/13	vsDEN	L  115-103	29	7-15	46.7	3-9	33.3	1-2	50	4	2	2	1	3	0	18
Tue 1/10	vsDAL	W  113-101	31	8-14	57.1	3-5	60	8-10	80	4	1	0	1	3	1	27
Sun 1/8	vsATL	L  112-108	31	3-13	23.1	2-5	40	6-8	75	3	4	0	0	2	1	14
Fri 1/6	@MIN	L  128-115	25	9-14	64.3	3-5	60	0-1	0	6	0	0	2	2	1	21
Thu 1/5	@DEN	L  122-91	20	6-11	54.5	1-4	25	0-0	0	1	2	0	1	4	1	13
Mon 1/2	vsMIA	L  110-100	26	1-8	12.5	1-4	25	6-6	100	2	1	1	1	1	1	9
JANUARY			26.3	5.9-11.9	49.5	2.7-5.6	47.8	4.1-4.9	83.3	3.2	1.8	0.3	0.8	2.2	1.3	18.5
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sun 12/31	@IND	L  131-130	24	2-3	66.7	0-0	0	5-6	83.3	5	2	2	0	3	2	9
Fri 12/29	@BOS	L  116-110	31	5-12	41.7	3-6	50	6-8	75	4	2	1	0	2	1	19
Wed 12/27	@TOR	W  124-113	24	8-14	57.1	2-3	66.7	4-4	100	1	3	0	3	1	2	22
Tue 12/26	@DET	W  142-131 OT	22	7-12	58.3	2-6	33.3	0-0	0	0	1	0	0	4	3	16
Sat 12/23	@PHI	L  119-114	23	8-13	61.5	2-5	40	3-7	42.9	4	4	1	0	0	3	21
Thu 12/21	vsCHA	W  126-105	19	4-8	50	0-2	0	6-7	85.7	2	2	1	0	3	3	14
DECEMBER			23.7	5.7-10.3	54.8	1.5-3.7	40.9	4.0-5.3	75	2.7	2.3	0.8	0.5	2.2	2.3	16.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Wed 11/29	@POR	W  118-112	24	10-16	62.5	4-5	80	8-10	80	4	2	0	1	3	4	32
Mon 11/27	vsIND	W  114-100	26	7-19	36.8	2-8	25	3-4	75	5	2	0	1	2	0	19
Sat 11/25	vsDEN	L  114-104	24	3-8	37.5	2-3	66.7	3-6	50	1	2	1	0	0	2	11
Thu 11/23	@GS	L  124-107	29	6-14	42.9	3-7	42.9	2-2	100	7	2	1	0	2	2	17
Tue 11/21	vsUTAH	W  121-114	28	10-15	66.7	3-4	75	7-7	100	4	1	1	1	2	2	30
Sun 11/19	vsSA	W  119-97	31	10-16	62.5	5-8	62.5	1-2	50	1	2	0	2	3	1	26
Fri 11/17	vsDET	W  96-91	23	5-9	55.6	1-3	33.3	3-4	75	2	1	0	0	0	0	14
Wed 11/15	@DAL	L  103-101	18	2-10	20	1-5	20	0-0	0	2	1	0	0	1	0	5
Tue 11/14	@HOU	W  122-106	23	4-10	40	1-6	16.7	8-9	88.9	3	3	0	2	2	3	17
Sun 11/12	vsBKN	L  110-95	27	6-14	42.9	1-1	100	3-3	100	2	1	1	2	1	0	16
Thu 11/9	vsLAL	W  114-101	24	5-10	50	2-5	40	6-7	85.7	1	3	0	1	3	3	18
Tue 11/7	vsCLE	W  119-117	28	5-6	83.3	1-1	100	6-7	85.7	1	0	0	2	5	0	17
Mon 11/6	vsUTAH	L  110-102	21	3-8	37.5	0-3	0	0-0	0	2	1	0	1	3	0	6
Sat 11/4	@SA	W  113-106	23	5-8	62.5	2-3	66.7	1-2	50	7	1	0	1	1	1	13
