2022-23 Regular Season																
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Tue 2/7	@BKN	W  116-112	25	1-3	33.3	0-2	0	1-4	25	4	0	2	0	2	3	3
Sat 2/4	@DET	W  116-100	28	5-8	62.5	4-4	100	0-0	0	5	3	0	0	1	1	14
Fri 2/3	@BOS	W  106-94	19	1-3	33.3	0-1	0	0-0	0	5	0	1	1	4	1	2
Wed 2/1	vsATL	L  132-100	23	3-5	60	1-3	33.3	0-0	0	8	1	1	2	2	3	7
FEBRUARY			23.8	2.5-4.8	52.6	1.3-2.5	50	0.3-1.0	25	5.5	1	1	0.8	2.3	2	6.5
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 1/30	vsTOR	W  114-106	26	1-5	20	0-1	0	0-0	0	8	4	0	0	3	2	2
Sat 1/28	@SA	W  128-118 OT	31	3-7	42.9	2-3	66.7	0-0	0	6	1	1	1	1	0	8
Thu 1/26	vsDAL	L  99-95	28	2-6	33.3	1-3	33.3	0-0	0	4	4	1	0	3	1	5
Tue 1/24	vsCHA	W  128-97	22	0-7	0	0-3	0	0-0	0	9	1	0	1	0	3	0
Sun 1/22	vsMEM	W  112-110	32	7-9	77.8	4-6	66.7	2-2	100	4	0	2	2	3	1	20
Sat 1/21	vsIND	W  112-107	20	0-2	0	0-1	0	0-0	0	4	1	0	1	1	1	0
Thu 1/19	vsBKN	W  117-112	25	1-5	20	0-1	0	0-0	0	6	2	0	0	2	2	2
Mon 1/16	@MEM	L  136-106	25	2-7	28.6	0-4	0	0-0	0	1	1	0	0	3	0	4
Fri 1/13	@MIN	L  121-116	32	3-6	50	1-2	50	2-3	66.7	8	3	0	3	3	3	9
Wed 1/11	@DEN	L  126-97	23	6-6	100	3-3	100	1-2	50	5	0	0	0	1	0	16
Tue 1/10	@GS	W  125-113	33	5-16	31.3	2-5	40	0-0	0	14	1	2	0	3	2	12
Sun 1/8	vsCLE	L  112-98	24	2-6	33.3	1-3	33.3	0-0	0	6	1	0	1	1	2	5
Fri 1/6	vsMIA	L  104-96	35	7-11	63.6	2-3	66.7	1-1	100	9	1	1	0	5	1	17
Wed 1/4	@CLE	L  90-88	24	1-3	33.3	0-1	0	2-2	100	5	3	0	1	0	1	4
Mon 1/2	@NY	L  102-83	23	2-7	28.6	0-4	0	0-0	0	7	0	0	0	3	0	4
JANUARY			26.9	2.8-6.9	40.8	1.1-2.9	37.2	0.5-0.7	80	6.4	1.5	0.5	0.7	2.1	1.3	7.2
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Sat 12/30	@TOR	L  113-104	30	5-9	55.6	2-4	50	1-2	50	7	1	0	1	4	2	13
Thu 12/28	@WSH	L  127-102	29	2-6	33.3	1-3	33.3	0-0	0	5	0	0	0	2	2	5
Wed 12/27	@MEM	W  125-108	21	4-7	57.1	2-4	50	0-0	0	7	2	3	0	2	0	10
Mon 12/25	@DEN	L  128-125 OT	36	5-8	62.5	3-4	75	0-0	0	7	2	1	2	3	2	13
Sat 12/23	vsMEM	L  125-100	19	2-7	28.6	2-6	33.3	2-2	100	2	0	0	2	3	0	8
Wed 12/20	vsWSH	L  113-110	30	3-7	42.9	0-2	0	0-0	0	8	2	0	0	3	0	6
Tue 12/19	vsLAL	W  130-104	31	6-7	85.7	4-4	100	1-2	50	8	4	0	2	3	0	17
Sun 12/17	vsNO	W  118-114	20	0-3	0	0-3	0	0-0	0	2	4	0	1	2	1	0
Fri 12/15	@LAC	W  111-95	18	4-8	50	1-2	50	0-0	0	5	0	1	1	5	0	9
Wed 12/13	@HOU	L  111-97	29	2-9	22.2	1-5	20	2-2	100	12	2	0	3	2	0	7
Mon 12/11	@NO	L  129-124 OT	36	5-10	50	2-4	50	2-2	100	7	1	1	0	2	0	14
Sat 12/9	@NO	L  128-117	30	5-9	55.6	4-7	57.1	0-0	0	5	3	0	0	0	3	14
Thu 12/7	vsBOS	L  125-98	24	5-9	55.6	1-5	20	0-0	0	3	1	1	0	3	1	11
DECEMBER			27.2	3.7-7.6	48.5	1.8-4.1	43.4	0.6-0.8	80	6	1.7	0.5	0.9	2.6	0.8	9.8
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Thu 11/30	vsCHI	W  132-113	30	3-7	42.9	1-4	25	0-0	0	4	0	0	0	3	0	7
Tue 11/28	@SAC	W  122-117	32	5-10	50	1-3	33.3	0-0	0	6	3	0	0	1	0	11
Sun 11/26	vsUTAH	W  113-112	27	4-8	50	0-2	0	2-2	100	7	1	2	0	4	1	10
Sat 11/25	vsDET	W  108-102	33	1-7	14.3	0-4	0	0-0	0	7	1	2	0	3	1	2
Wed 11/22	vsLAL	W  115-105	30	3-7	42.9	2-4	50	0-0	0	5	0	2	3	2	0	8
Mon 11/20	vsNY	W  116-95	25	5-9	55.6	2-4	50	2-2	100	4	3	2	0	4	1	14
Sat 11/18	@UTAH	L  134-133	28	6-10	60	3-5	60	1-1	100	6	2	0	1	5	1	16
Thu 11/16	vsGS	W  130-119	30	5-8	62.5	3-6	50	0-0	0	10	2	1	2	1	1	13
Tue 11/14	@MIA	L  113-112	33	4-10	40	1-3	33.3	1-2	50	9	2	1	1	4	1	10
Sat 11/11	@ORL	L  114-97	35	3-8	37.5	1-4	25	2-2	100	4	1	1	1	2	1	9
Thu 11/9	@MIN	W  129-117	26	2-5	40	2-3	66.7	0-0	0	5	1	0	1	4	2	6
Tue 11/7	@PHI	L  100-88	23	1-6	16.7	1-4	25	0-0	0	1	1	1	1	1	1	3
Sun 11/5	vsPOR	W  102-82	22	2-5	40	1-3	33.3	0-0	0	5	4	3	1	4	1	5
Sat 11/4	vsPOR	L  108-106	23	3-7	42.9	1-4	25	1-2	50	6	2	0	0	3	0	8
Wed 11/1	vsMIN	W  116-107	12	1-2	50	1-2	50	1-2	50	4	1	0	0	3	0	4
NOVEMBER			27	3.2-7.3	44	1.3-3.7	36.4	0.7-0.9	76.9	5.5	1.6	1	0.7	2.9	0.7	8.4
DATE	OPP	RESULT	MIN	FG	FG%	3PT	3P%	FT	FT%	REB	AST	BLK	STL	PF	TO	PTS
Mon 10/30	vsHOU	W  124-109	18	0-1	0	0-1	0	0-0	0	2	1	1	0	3	1	0
Sat 10/28	vsNO	W  124-111	17	6-6	100	1-1	100	0-0	0	6	2	0	0	1	1	13
Wed 10/25	vsGS	W  134-105	10	3-4	75	2-3	66.7	0-0	0	2	0	0	1	0	0	8
Mon 10/23	@LAC	W  112-95	25	3-7	42.9	2-5	40	0-0	0	9	2	0	0	1	0	8
Sat 10/21	@POR	L  113-111 OT	11	1-3	33.3	1-3	33.3	0-0	0	1	1	0	1	0	1	3
Thu 10/19	vsDAL	W  107-105	9	1-1	100	0-0	0	0-0	0	1	0	0	0	1	0	2
OCTOBER			15	2.3-3.7	63.6	1.0-2.2	46.2	0.0-0.0	0	3.5	1	0.2	0.3	1	0.5	5.7
