Name,PTS,REB,AST,3PT,BLK,STL,TO,LOC,OPP
gordon hayward,17,5,5,2,1,1,1,home,det
killian hayes,13,4,8,2,1,2,1,away,cha
lamelo ball,26,8,11,4,1,2,1,home,det
mark williams,13,10,2,1,2,1,1,home,det
terry rozier,22,4,5,3,1,2,1,home,det
bam adebayo,19,9,4,1,1,1,1,away,phi
deanthony melton,8,3,2,2,1,1,1,home,mia
gabe vincent,11,2,3,2,1,1,1,away,phi
james harden,22,6,11,3,1,1,1,home,mia
jimmy butler,22,5,6,1,1,1,1,away,phi
joel embiid,32,11,4,1,1,1,1,home,mia
tobias harris,15,5,2,2,1,1,1,home,mia
tyrese maxey,17,3,3,2,1,1,1,home,mia
pj tucker,10,5,2,1,1,1,1,home,mia
al horford,9,6,3,2,1,1,1,away,nyk
derrick white,18,4,4,3,1,1,1,away,nyk
grant williams,8,5,2,2,1,1,1,away,nyk
immanuel quickley,12,4,2,2,1,1,1,home,bos
jalen brunson,25,4,6,2,1,1,1,home,bos
jayson tatum,32,9,5,4,1,1,1,away,nyk
josh hart,9,6,3,1,1,1,1,home,bos
julius randle,26,9,4,3,1,1,1,home,bos
malcolm brogdan,16,5,4,3,1,1,1,away,nyk
marcus smart,13,4,6,2,1,1,1,away,nyk
mitchell robinson,8,9,2,1,1,1,1,home,bos
quentin grimes,7,3,2,2,1,1,1,home,bos
rj barrett,18,4,3,2,1,1,1,home,bos
robert williams,10,9,2,1,1,1,1,away,nyk
bol bol,7,4,2,1,1,1,1,away,nop
brandon ingram,26,6,6,2,1,1,1,home,orl
cj mccollum,22,5,6,3,1,1,1,home,orl
cole anthony,10,4,4,1,1,1,1,home,orl
franz wagner,17,4,4,2,1,1,1,away,nop
gary harris,8,2,2,2,1,1,1,away,nop
herbert jones,9,5,2,1,1,2,1,home,orl
jalen suggs,10,3,3,2,1,1,1,away,nop
jonas valanciunas,15,12,2,1,1,1,1,home,orl
jose alvarado,7,2,3,1,1,1,1,home,orl
markelle fultz,15,5,6,1,1,2,1,away,nop
moritz wagner,10,4,2,1,1,1,1,away,nop
naji marshall,7,4,2,1,1,1,1,home,orl
paolo banchero,20,7,4,1,1,1,1,away,nop
wendell carter jr,16,9,3,2,1,1,1,away,nop
