NY KnicksatLA ClippersTODAY 4:10PM			NY KnicksatLA ClippersTODAY 4:10PM			NY KnicksatLA ClippersTODAY 4:10PM			NY KnicksatLA ClippersTODAY 4:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Eric Gordon	O 10.5  −125	U 10.5  −105	Immanuel Quickley	O 3.5  −165	U 3.5  +135	Eric Gordon	O 2.5  +155	U 2.5  −190	Eric Gordon	O 1.5  −120	U 1.5  −110
Immanuel Quickley	O 18.5  −120	U 18.5  −110	Ivica Zubac	O 7.5  −125	U 7.5  −105	Immanuel Quickley	O 5.5  +125	U 5.5  −155	Immanuel Quickley	O 2.5  −150	U 2.5  +120
Ivica Zubac	O 8.5  −130	U 8.5  +100	Josh Hart	O 6.5  −125	U 6.5  −105	Josh Hart	O 3.5  −110	U 3.5  −120	Josh Hart	O 0.5  −155	U 0.5  +125
Josh Hart	O 9.5  −130	U 9.5  +100	Julius Randle	O 8.5  −140	U 8.5  +110	Julius Randle	O 4.5  +100	U 4.5  −130	Julius Randle	O 3.5  −115	U 3.5  −115
Julius Randle	O 28.5  −125	U 28.5  −105	Kawhi Leonard	O 6.5  −115	U 6.5  −115	Kawhi Leonard	O 3.5  −135	U 3.5  +105	Kawhi Leonard	O 2.5  +120	U 2.5  −150
Kawhi Leonard	O 26.5  −125	U 26.5  −105	Marcus Morris Sr.	O 2.5  +100	U 2.5  −130	Paul George	O 4.5  +100	U 4.5  −130	Marcus Morris Sr.	O 1.5  +130	U 1.5  −160
Marcus Morris Sr.	O 7.5  −130	U 7.5  +100	Mason Plumlee	O 5.5  +110	U 5.5  −140	RJ Barrett	O 2.5  −150	U 2.5  +120	Paul George	O 2.5  −145	U 2.5  +115
Mason Plumlee	O 6.5  −130	U 6.5  +100	Mitchell Robinson	O 9.5  +100	U 9.5  −130	Russell Westbrook	O 6.5  −140	U 6.5  +110	Quentin Grimes	O 1.5  −160	U 1.5  +130
Mitchell Robinson	O 8.5  −110	U 8.5  −120	Paul George	O 6.5  +115	U 6.5  −145	Terance Mann	O 2.5  +155	U 2.5  −190	RJ Barrett	O 1.5  −135	U 1.5  +105
Paul George	O 24.5  −110	U 24.5  −120	Quentin Grimes	O 2.5  −120	U 2.5  −110	UTA JazzatCHA HornetsTODAY 7:10PM			Russell Westbrook	O 0.5  −220	U 0.5  +180
Quentin Grimes	O 10.5  −105	U 10.5  −125	RJ Barrett	O 5.5  +125	U 5.5  −155	PLAYER	OVER	UNDER	Terance Mann	O 0.5  −190	U 0.5  +155
RJ Barrett	O 22.5  −105	U 22.5  −125	Russell Westbrook	O 4.5  −125	U 4.5  −105	Gordon Hayward	O 5.5  −120	U 5.5  −110	IND PacersatDET PistonsTODAY 7:10PM		
Russell Westbrook	O 13.5  −115	U 13.5  −115	Terance Mann	O 3.5  +120	U 3.5  −150	Kelly Olynyk	O 3.5  −110	U 3.5  −120	PLAYER	OVER	UNDER
Terance Mann	O 8.5  +100	U 8.5  −130	IND PacersatDET PistonsTODAY 7:10PM			PJ Washington	O 2.5  −125	U 2.5  −105	Isaiah Livers	O 2.5  +110	U 2.5  −140
IND PacersatDET PistonsTODAY 7:10PM			PLAYER	OVER	UNDER	Talen Horton-Tucker	O 5.5  −105	U 5.5  −125	James Wiseman	O 0.5  +380	U 0.5  −520
PLAYER	OVER	UNDER	Isaiah Livers	O 3.5  −135	U 3.5  +105	Terry Rozier	O 6.5  +125	U 6.5  −155	UTA JazzatCHA HornetsTODAY 7:10PM		
Isaiah Livers	O 11.5  −105	U 11.5  −125	James Wiseman	O 8.5  +110	U 8.5  −140	MIA HeatatORL MagicTODAY 7:10PM			PLAYER	OVER	UNDER
James Wiseman	O 15.5  −125	U 15.5  −105	UTA JazzatCHA HornetsTODAY 7:10PM			PLAYER	OVER	UNDER	Gordon Hayward	O 1.5  +175	U 1.5  −215
UTA JazzatCHA HornetsTODAY 7:10PM			PLAYER	OVER	UNDER	Bam Adebayo	O 2.5  −175	U 2.5  +140	Kelly Olynyk	O 1.5  +175	U 1.5  −215
PLAYER	OVER	UNDER	Gordon Hayward	O 4.5  −155	U 4.5  +125	Franz Wagner	O 3.5  +130	U 3.5  −160	Kelly Oubre Jr.	O 2.5  −130	U 2.5  +100
Gordon Hayward	O 16.5  −110	U 16.5  −120	Kelly Olynyk	O 6.5  −135	U 6.5  +105	Jimmy Butler	O 5.5  +125	U 5.5  −155	Lauri Markkanen	O 3.5  +110	U 3.5  −140
Kelly Olynyk	O 12.5  −120	U 12.5  −110	Kelly Oubre Jr.	O 6.5  −135	U 6.5  +105	Markelle Fultz	O 5.5  −105	U 5.5  −125	PJ Washington	O 1.5  −165	U 1.5  +135
Kelly Oubre Jr.	O 22.5  −150	U 22.5  +120	Lauri Markkanen	O 8.5  −140	U 8.5  +110	Paolo Banchero	O 3.5  +130	U 3.5  −160	Talen Horton-Tucker	O 1.5  +110	U 1.5  −140
Lauri Markkanen	O 28.5  −105	U 28.5  −125	PJ Washington	O 5.5  −130	U 5.5  +100	Tyler Herro	O 3.5  −135	U 3.5  +105	Terry Rozier	O 2.5  −145	U 2.5  +115
PJ Washington	O 16.5  −110	U 16.5  −120	Talen Horton-Tucker	O 4.5  +100	U 4.5  −130	BOS CelticsatATL HawksTODAY 7:40PM			MIA HeatatORL MagicTODAY 7:10PM		
Talen Horton-Tucker	O 15.5  −115	U 15.5  −115	Terry Rozier	O 4.5  −115	U 4.5  −115	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Terry Rozier	O 22.5  −125	U 22.5  −105	Walker Kessler	O 11.5  −135	U 11.5  +105	Al Horford	O 2.5  −140	U 2.5  +110	Franz Wagner	O 1.5  −140	U 1.5  +110
Walker Kessler	O 12.5  −110	U 12.5  −120	MIA HeatatORL MagicTODAY 7:10PM			Dejounte Murray	O 5.5  +100	U 5.5  −130	Gary Harris	O 1.5  −160	U 1.5  +130
MIA HeatatORL MagicTODAY 7:10PM			PLAYER	OVER	UNDER	Derrick White	O 3.5  −150	U 3.5  +120	Jimmy Butler	O 0.5  +150	U 0.5  −185
PLAYER	OVER	UNDER	Bam Adebayo	O 8.5  +105	U 8.5  −135	Jaylen Brown	O 2.5  −175	U 2.5  +140	Markelle Fultz	O 0.5  +110	U 0.5  −140
Bam Adebayo	O 19.5  −105	U 19.5  −125	Franz Wagner	O 3.5  +120	U 3.5  −150	Jayson Tatum	O 5.5  +125	U 5.5  −155	Paolo Banchero	O 1.5  +130	U 1.5  −160
