HOU RocketsatIND PacersTODAY 7:10PM			HOU RocketsatIND PacersTODAY 7:10PM			HOU RocketsatIND PacersTODAY 7:10PM			HOU RocketsatIND PacersTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
Alperen Sengun	O 15.5  −120	U 15.5  −110	Alperen Sengun	O 9.5  −115	U 9.5  −115	Alperen Sengun	O 4.5  −145	U 4.5  +115	Alperen Sengun	O 0.5  +300	U 0.5  −400
Buddy Hield	O 16.5  −125	U 16.5  −105	Buddy Hield	O 4.5  −115	U 4.5  −115	Buddy Hield	O 2.5  −105	U 2.5  −125	Buddy Hield	O 3.5  −115	U 3.5  −115
Jabari Smith	O 12.5  −130	U 12.5  +100	Jabari Smith	O 7.5  +110	U 7.5  −140	Jalen Green	O 3.5  −145	U 3.5  +115	Jabari Smith	O 1.5  +120	U 1.5  −150
Jalen Green	O 23.5  −120	U 23.5  −110	Jalen Green	O 3.5  +135	U 3.5  −165	Tyrese Haliburton	O 10.5  −110	U 10.5  −120	Jalen Green	O 2.5  −120	U 2.5  −110
Kenyon Martin Jr.	O 14.5  −125	U 14.5  −105	Kenyon Martin Jr.	O 6.5  −135	U 6.5  +105	CHA HornetsatDET PistonsTODAY 7:10PM			Kenyon Martin Jr.	O 0.5  −155	U 0.5  +125
Myles Turner	O 18.5  −115	U 18.5  −115	Myles Turner	O 7.5  −110	U 7.5  −120	PLAYER	OVER	UNDER	Myles Turner	O 1.5  +105	U 1.5  −135
Tyrese Haliburton	O 22.5  −115	U 22.5  −115	Tyrese Haliburton	O 3.5  +115	U 3.5  −145	Gordon Hayward	O 5.5  −115	U 5.5  −115	Tyrese Haliburton	O 2.5  −160	U 2.5  +130
CHA HornetsatDET PistonsTODAY 7:10PM			CHA HornetsatDET PistonsTODAY 7:10PM			Jaden Ivey	O 5.5  −140	U 5.5  +110	CHA HornetsatDET PistonsTODAY 7:10PM		
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PJ Washington	O 2.5  −175	U 2.5  +140	PLAYER	OVER	UNDER
Gordon Hayward	O 16.5  −110	U 16.5  −120	Gordon Hayward	O 4.5  −130	U 4.5  +100	Terry Rozier	O 6.5  +105	U 6.5  −135	Gordon Hayward	O 1.5  +135	U 1.5  −165
Isaiah Livers	O 9.5  −125	U 9.5  −105	Isaiah Livers	O 3.5  +110	U 3.5  −140	UTA JazzatORL MagicTODAY 7:10PM			Isaiah Livers	O 2.5  +120	U 2.5  −150
Jaden Ivey	O 18.5  −115	U 18.5  −115	Jaden Ivey	O 3.5  −145	U 3.5  +115	PLAYER	OVER	UNDER	Jaden Ivey	O 1.5  −130	U 1.5  +100
James Wiseman	O 14.5  −115	U 14.5  −115	James Wiseman	O 8.5  −125	U 8.5  −105	Franz Wagner	O 3.5  −130	U 3.5  +100	James Wiseman	O 0.5  +350	U 0.5  −475
Kelly Oubre Jr.	O 22.5  −120	U 22.5  −110	Kelly Oubre Jr.	O 6.5  −110	U 6.5  −120	Kelly Olynyk	O 3.5  +120	U 3.5  −150	Kelly Oubre Jr.	O 2.5  −135	U 2.5  +105
Mark Williams	O 11.5  −110	U 11.5  −120	Mark Williams	O 9.5  −110	U 9.5  −120	Markelle Fultz	O 5.5  −135	U 5.5  +105	PJ Washington	O 1.5  −175	U 1.5  +140
PJ Washington	O 14.5  −125	U 14.5  −105	PJ Washington	O 5.5  +100	U 5.5  −130	Paolo Banchero	O 3.5  −110	U 3.5  −120	Terry Rozier	O 2.5  −155	U 2.5  +125
Terry Rozier	O 21.5  −125	U 21.5  −105	Terry Rozier	O 4.5  +115	U 4.5  −145	GS WarriorsatMEM GrizzliesTODAY 7:30PM			UTA JazzatORL MagicTODAY 7:10PM		
UTA JazzatORL MagicTODAY 7:10PM			UTA JazzatORL MagicTODAY 7:10PM			PLAYER	OVER	UNDER	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Desmond Bane	O 4.5  −145	U 4.5  +115	Franz Wagner	O 1.5  −130	U 1.5  +100
Franz Wagner	O 18.5  −105	U 18.5  −125	Franz Wagner	O 4.5  +130	U 4.5  −160	Dillon Brooks	O 2.5  −105	U 2.5  −125	Kelly Olynyk	O 1.5  +175	U 1.5  −215
Kelly Olynyk	O 12.5  −115	U 12.5  −115	Kelly Olynyk	O 6.5  +100	U 6.5  −130	Draymond Green	O 6.5  +110	U 6.5  −140	Lauri Markkanen	O 3.5  +110	U 3.5  −140
Lauri Markkanen	O 28.5  −105	U 28.5  −125	Lauri Markkanen	O 8.5  −135	U 8.5  +105	Klay Thompson	O 2.5  +105	U 2.5  −135	Markelle Fultz	O 0.5  +160	U 0.5  −195
Markelle Fultz	O 15.5  −125	U 15.5  −105	Markelle Fultz	O 4.5  −130	U 4.5  +100	Stephen Curry	O 5.5  −140	U 5.5  +110	Paolo Banchero	O 1.5  +160	U 1.5  −195
Paolo Banchero	O 21.5  +100	U 21.5  −130	Paolo Banchero	O 7.5  +110	U 7.5  −140	Tyus Jones	O 7.5  −130	U 7.5  +100	GS WarriorsatMEM GrizzliesTODAY 7:30PM		
GS WarriorsatMEM GrizzliesTODAY 7:30PM			GS WarriorsatMEM GrizzliesTODAY 7:30PM			BKN NetsatMIL BucksTODAY 8:10PM			PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Desmond Bane	O 2.5  −140	U 2.5  +110
Desmond Bane	O 23.5  −125	U 23.5  −105	Desmond Bane	O 5.5  +125	U 5.5  −155	Dorian Finney-Smith	O 2.5  +115	U 2.5  −145	Dillon Brooks	O 1.5  −150	U 1.5  +120
Dillon Brooks	O 13.5  −120	U 13.5  −110	Dillon Brooks	O 3.5  +140	U 3.5  −175	Giannis Antetokounmpo	O 4.5  −155	U 4.5  +125	Draymond Green	O 0.5  +140	U 0.5  −175
Draymond Green	O 8.5  −115	U 8.5  −115	Draymond Green	O 7.5  +105	U 7.5  −135	Jrue Holiday	O 6.5  +105	U 6.5  −135	Jaren Jackson Jr.	O 1.5  −145	U 1.5  +115
Jaren Jackson Jr.	O 20.5  −120	U 20.5  −110	Jaren Jackson Jr.	O 7.5  −135	U 7.5  +105	Khris Middleton	O 4.5  −130	U 4.5  +100	Klay Thompson	O 3.5  −155	U 3.5  +125
Klay Thompson	O 22.5  −115	U 22.5  −115	Klay Thompson	O 3.5  −160	U 3.5  +130	Mikal Bridges	O 4.5  +110	U 4.5  −140	Stephen Curry	O 4.5  −140	U 4.5  +110
Stephen Curry	O 28.5  −105	U 28.5  −125	Stephen Curry	O 5.5  −125	U 5.5  −105	NY KnicksatSAC KingsTODAY 10:00PM			Tyus Jones	O 1.5  −165	U 1.5  +135
Tyus Jones	O 15.5  −125	U 15.5  −105	Tyus Jones	O 3.5  +125	U 3.5  −155	PLAYER	OVER	UNDER	BKN NetsatMIL BucksTODAY 8:10PM		
BKN NetsatMIL BucksTODAY 8:10PM			BKN NetsatMIL BucksTODAY 8:10PM			De'Aaron Fox	O 6.5  −105	U 6.5  −125	PLAYER	OVER	UNDER
PLAYER	OVER	UNDER	PLAYER	OVER	UNDER	Domantas Sabonis	O 6.5  +105	U 6.5  −135	Brook Lopez	O 1.5  −140	U 1.5  +110
Brook Lopez	O 14.5  −125	U 14.5  −105	Brook Lopez	O 5.5  −145	U 5.5  +115	Julius Randle	O 4.5  +110	U 4.5  −140	Dorian Finney-Smith	O 1.5  −145	U 1.5  +115
Dorian Finney-Smith	O 9.5  +100	U 9.5  −130	Dorian Finney-Smith	O 5.5  −125	U 5.5  −105	Kevin Huerter	O 2.5  −135	U 2.5  +105	Giannis Antetokounmpo	O 0.5  −140	U 0.5  +110
Giannis Antetokounmpo	O 31.5  −120	U 31.5  −110	Giannis Antetokounmpo	O 11.5  −125	U 11.5  −105				Grayson Allen	O 2.5  +135	U 2.5  −165
Grayson Allen	O 9.5  −120	U 9.5  −110	Grayson Allen	O 2.5  −110	U 2.5  −120				Jrue Holiday	O 2.5  −105	U 2.5  −125
Jrue Holiday	O 18.5  −115	U 18.5  −115	Jrue Holiday	O 4.5  +105	U 4.5  −135				Khris Middleton	O 1.5  −180	U 1.5  +145
