BOS CelticsatPHI 76ersTODAY 7:30PM		
PLAYER	OVER	UNDER
Al Horford	O 7.5  −140	U 7.5  +110
De'Anthony Melton	O 7.5  +110	U 7.5  −140
Derrick White	O 11.5  −110	U 11.5  −120
James Harden	O 20.5  −120	U 20.5  −110
Jaylen Brown	O 24.5  −130	U 24.5  +100
Jayson Tatum	O 29.5  −115	U 29.5  −115
Joel Embiid	O 29.5  −140	U 29.5  +110
Malcolm Brogdon	O 14.5  −110	U 14.5  −120
Marcus Smart	O 13.5  −105	U 13.5  −125
Tobias Harris	O 13.5  −115	U 13.5  −115
Tyrese Maxey	O 19.5  −105	U 19.5  −125
DEN NuggetsatPHO SunsTODAY 10:00PM		
PLAYER	OVER	UNDER
Aaron Gordon	O 13.5  −130	U 13.5  +100
Bruce Brown	O 10.5  −105	U 10.5  −125
Cameron Payne	O 1.5  −110	U 1.5  −120
Deandre Ayton	O 12.5  −120	U 12.5  −110
Devin Booker	O 31.5  −130	U 31.5  +100
Jamal Murray	O 23.5  −125	U 23.5  −105
Kentavious Caldwell-Pope	O 9.5  +100	U 9.5  −130
Kevin Durant	O 30.5  −115	U 30.5  −115
Michael Porter Jr.	O 15.5  −125	U 15.5  −105
Nikola Jokic	O 29.5  −125	U 29.5  −105
